"Nid","Conifers 1","Hardwoods 1","Shrubs 1","Comments 1","Conifers 2","Hardwoods 2","Shrubs 2","Comments 2","Conifers 3","Hardwoods 3","Shrubs 3","Comments 3","Conifers 4","Hardwoods 4","Shrubs 4","Comments 4","Conifers 5","Hardwoods 5","Shrubs 5","Comments 5"
"6509","","6","10","blackberry,Ivy,trail","","","3","ivy,hardwood,invasive trees","","","","na","","","","na","","","","na"
"6511","3","3","4","Ivy,blackberry vines","","8","3","Ivy,blackberry,holley,nawthorn","","","","","","","","","","","",""
"6522","","1","5","Ivy on get ground","","1","1","There is a shrub on a tree","","","1","Very flat and clear area.","","2","1","Big hardwoods. Ivy on the ground","","","1","A bunch of branches covering the ground"
"6523","","1","2","lots of night shade","","","","lots of ivy and water","","","","lots of ivy and water seeds","","4","","lots of ivyamd water seeds","","3","","lots of leaves"
"6524","","","15","many shrubs","","6","5","big branches small trees","","3","4","","1","3","3","wide open area","","","","steep slope ,there is a trail"
"6682","4","6","16","green","5","6","12","brown","","","","","","","","","","","",""
"7246","","1","7","","","","7","","","1","","","","","","","","","",""
"7276","","1","11","rocky slope","","1","13","rocky slope","","1","","flat, grassy area","","","","","","","",""
"7311","","2","10","lots of grass, leaf fall, steep slope","","4","4","grass, leaf fall, steep slope","","1","","grass, flat, upper bench","","","","","","","",""
"7336","","1","10","steep slope","","2","10","Steep slope","","1","","flat, lots of grass","","","","","","","",""
"11261","","1","12","Group 1: Andrew Johnson, Caitlin Wirfs","","3","18","Group 1:  Avery Jorgensen, Laell Gorman,Daisy Thompson","","6","22","Group 1:  Brandon Ward, Caleb Dodge","","","","","","","",""
"11266","","","5","Group 2: Emilee Souza, Katie Frederic, Emma Vileyes","","2","11","Group 2: Jordan Thomas, Colton Fuesler","","1","5","Group 2: Hannah Kilborn","","1","4","Group 2: Sid Kelly","","","",""
"11271","","3","2","Group 3: Sarah Benthimer","","3","","Group 3: Kendra Gillett, Hannah Grudzinski, Chrysta Hyder","","","","","","","","","","","",""
"11276","","1","5","Group 4: Kayla Idencio, Monique Tennlliger","","1","4","Group 4: Allison Mueller","","4","8","Group 4: Nick Izatt, Adrian Gomez, Hannah H, David Barnes","","","","","","","",""
"12046","","","1","Grasses, slightly muddy","","","1","Grasses, some taller grasses, buttercups","","","","Dandilions, woody debris, grasses, small trail runs through","","3","","Ferns, tall grasses, horsetails","","","","In road"
"12066","","","2","Grass, small thorned plants","","","","Buttercups, grass","","","","Buttercups, grass","","","","Buttercups, grass, ferns, moss and some rocks","","","","Daisies, big rocks"
"36311","","2","","","","7","","","","2","","","","2","","","","1","",""
"36321","","3","","","","1","","","","","","","","","","","","","",""
"36561","","","","","","","","","","","","","","","","","","","",""
"36581","","","","","","","","","","","","","","","","","","","",""
"36766","","","15","","1","","7","","","","13","","","","10","","","","9",""
"36796","1","","3","","","","5","","1","","6","","","","","","","","",""
"37126","","","","","","","","","","","","","","","","","","","",""
"37146","","","","","","","1","","","","","","1","","","","","","","at 100 feet you run into Prairie Creek"
"37506","","","","just grass and rocks","","","","clumps of grass","","","","","","","","","","","1","lots of dirt"
"37531","","","1","","","","1","","","","1","","","","1","","","","1",""
"38066","2","","","","4","","","","6","","","","2","","","","","","",""
"38236","","","","","","","","","3","","2","","3","3","3","","","","",""
"40141","2","","20","Mostly blackberry and Ivy","","3","20","Ferns and blackberry","2","3","20","ivy, blackberry, grass","","","","Grass covered","","1","","grass with a paved path"
"40151","","5","20","ivy, blackberry, 1 fern","","1","1","mostly grass","","1","","Gravel and trail starts at 64'","","2","","grass, gravel at path end at 74'","","1","","grass"
"40161","","1","","Grass","","","","grass & asphalt trail","","","","Private Property","","","","Private Property","","","",""
"40171","","","","mud, rock, asphalt, yellow flag iris","","","","Private Property","","","","private property","","","","private property","","","","Private property"
"40181","1","2","","mostly asphalt, rocks & leaves","","","","private property","","","","private property","","","","private property","","","","private property"
"40436","","5","3","weed barriers, river rocks","","2","","over grown, trail","","","3","trial, gravel","","","1","black berries","1","","2",""
"40441","","5","3","Gravel, grass","","","1","Grass and rocks","","1","","Grass, rocks branches","","","2","Blackberries, grass, elaves, gravel","","","1","Gravel, grass, leaves"
"40446","","1","7","Rough terrain","","","5","Rocks and poison oak","","","","Mud and weeks, gravel","","","","Gravel and grass","","","","Gravel and rocks, grass"
"40451","","","4","Gravel","","1","4","Grass and gravel","","2","6","Grass","","2","1","Grass and b_berry","1","1","4","Gravel"
"40481","","3","1","","","","1","","","","","","","","3","","","","2",""
"40486","","3","1","","","","1","","","","","","","","3","","","","2",""
"40491","","3","1","","","","1","","","","","","","","3","","","","2",""
"40516","","","5","1/2 gravel","","1","1","1/8 gravel","","1","11","n/a","","2","2","n/a","1","2","8","n/a"
"40521","","3","1","lots of grass","","","1","little bit of grass and rocks","","","","Shocked downhill on the side of the trail","","","3","thorn bushes","","","2","thorn bushes"
"40531","","","5","1/2 gravel","","1","1","1/8 gravel","","1","11","n/a","","2","2","n/a","1","2","8","n/a"
"40576","","1","","fallen tree (dead)","","","","grass, tree canopy","","","","pavement","1","","","","","","",""
"40586","","","7","Half of path was gravel","","","13","Little gravel, wood, and branches","","","4","Sticks and thorns","","3","16","Mud and sticks","1","1","4","Cliff"
"40611","3","7","3","gravel-1/2 path","","","","","","","","","","","","","","","",""
"40616","3","7","3","gravel-1/2 path","","","2","gravel-1/4 path","","","","","","","","","","","",""
"40621","3","7","3","gravel-1/2 path","","","2","gravel-1/4 path","","","","gravel- 1/2 path","","","","gravel 1/4 blackberry","","","2","gravel 1/4 path 2 srubs blackberrys"
"40626","3","7","3","gravel-1/2 path","","","2","gravel-1/4 path","","","","gravel- 1/2 path","","","","gravel 1/4 blackberry","","","2","gravel 1/4 path 2 srubs blackberrys"
"41561","","","3","3 different grasses present","","","","2 different grasses present","","","","gravel patch","3","","3","3 sword ferns and 4 different grasses present","","","2","Horsetail and fern, as well as some paved road and 6 different grasses present"
