"nid","significance"
"8441",""
"8441",""
"8441",""
"8441",""
"8441",""
"8406",""
"8406",""
"8406",""
"8406",""
"8406",""
"8406",""
"8401",""
"8401",""
"8401",""
"8401",""
"8401",""
"8401",""
"6679","very rare, sign of stream health"
"6679",""
"6679",""
"6679",""
"6679",""
"6679",""
"6555",""
"6555",""
"6555",""
"6555",""
"6555",""
"6555",""
"6226",""
"6226",""
"6226",""
"6226",""
"6226",""
"6226",""
"5963","Shade"
"5963","Shade/Nutrients"
"5963","Habitat"
"5963",""
"5963",""
"5963",""
"5960","Shade/Fish Habitat"
"5960","Amphibian Shelter"
"5960","Shade, Shelter"
"5960","Berries"
"5960","Berries"
"5960",""
"5957","Shade"
"5957","ground cover/habitat"
"5957","food"
"5957",""
"5957",""
"5957",""
"5954","Shade"
"5954","nutrients"
"5954","filter"
"5954",""
"5954",""
"5954",""
"5950","shade"
"5950","cover"
"5950",""
"5950",""
"5950",""
"5950",""
"5947","Shade"
"5947","Shade, Nutrients"
"5947","Cover"
"5947",""
"5947",""
"5947",""
"5595","sign of water health"
"5595",""
"5595",""
"5595",""
"5595",""
"5595",""
"5572","high significance"
"5572",""
"5572",""
"5572",""
"5572",""
"5572",""
"5361","holds soil and collects moisture"
"5361","holds soil in place as a ground cover"
"5361","invasive, has taken over land and some trees."
"5361","produces avian homes, holds soil/rocks"
"5361","fallen trees provide toil soil"
"5361","breaks down surfaces, creates diversity of lichen"
"5027",""
"5027",""
"5027",""
"5027",""
"5027",""
"5027",""
"5024",""
"5024",""
"5024",""
"5024",""
"5024",""
"5024",""
"4443",""
"4443",""
"4443",""
"4443",""
"4443",""
"4443",""
"3955","Significant"
"3955","Significant"
"3955",""
"3955",""
"3955",""
"3955",""
"3751",""
"3751",""
"3751",""
"3751",""
"3751",""
"3751",""
"3749",""
"3749",""
"3749",""
"3749",""
"3749",""
"3749",""
"3747",""
"3747",""
"3747",""
"3747",""
"3747",""
"3747",""
"3745",""
"3745",""
"3745",""
"3745",""
"3745",""
"3745",""
"3743",""
"3743",""
"3743",""
"3743",""
"3743",""
"3743",""
"3741",""
"3741",""
"3741",""
"3741",""
"3741",""
"3741",""
"3244",""
"3244",""
"3244",""
"3244",""
"3244",""
"3244",""
"2817",""
"2817",""
"2817",""
"2817",""
"2817",""
"2817",""
"2792",""
"2792",""
"2792",""
"2792",""
"2792",""
"2792",""
"2692",""
"2692",""
"2692",""
"2692",""
"2692",""
"2692",""
"2689",""
"2689",""
"2689",""
"2689",""
"2689",""
"2689",""
"2487",""
"2487",""
"2487",""
"2487",""
"2487",""
"2487",""
"2483",""
"2483",""
"2483",""
"2483",""
"2483",""
"2483",""
"2482","Steep banks not errorded"
"2482",""
"2482",""
"2482",""
"2482",""
"2482",""
"2480",""
"2480",""
"2480",""
"2480",""
"2480",""
"2480",""
"2479","its everywhere"
"2479",""
"2479",""
"2479",""
"2479",""
"2479",""
"2477","very tall"
"2477",""
"2477",""
"2477",""
"2477",""
"2477",""
