"Stream/Site name","Collected","East","Delta"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","11","5"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","13","6"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","14","7"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","15","8"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","16","9"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","17","10"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","18","11"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","19","12"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","20","13"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","21","14"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","22","15"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","23","16"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","24","17"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","26","18"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","27","19"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","28","20"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","29","21"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","33","22"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","34","23"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","4",""
"Oregon 4-H Center","Thu, 2011-08-04 13:45","8","1"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","10","2"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","11","3"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","16","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","17","5"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","19","6"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","22","7"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","23","8"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","24","9"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","28","10"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","34","11"
"Clear Creek","Tue, 2011-08-30 11:09","3",""
"Clear Creek","Tue, 2011-08-30 11:09","4","1"
"Clear Creek","Tue, 2011-08-30 11:09","9","2"
"Clear Creek","Tue, 2011-08-30 11:09","10","3"
"Clear Creek","Tue, 2011-08-30 11:09","15","4"
"Clear Creek","Tue, 2011-08-30 11:09","16","5"
"Clear Creek","Tue, 2011-08-30 11:09","17","6"
"Clear Creek","Tue, 2011-08-30 11:09","18","7"
"Clear Creek","Tue, 2011-08-30 11:09","22","8"
"Clear Creek","Tue, 2011-08-30 11:09","23","9"
"Clear Creek","Tue, 2011-08-30 11:09","24","10"
"Clear Creek","Tue, 2011-08-30 11:09","28","11"
"Clear Creek","Tue, 2011-08-30 11:09","29","12"
"Clear Creek","Tue, 2011-08-30 11:09","33","13"
"Clear Creek","Tue, 2011-08-30 11:09","34","14"
"Clear Creek","Tue, 2011-09-20 12:15","13",""
"Clear Creek","Tue, 2011-09-20 12:15","14","1"
"Clear Creek","Tue, 2011-09-20 12:15","15","2"
"Clear Creek","Tue, 2011-09-20 12:15","19","3"
"Clear Creek","Tue, 2011-09-20 12:15","20","4"
"Clear Creek","Tue, 2011-09-20 12:15","21","5"
"Clear Creek","Tue, 2011-09-20 12:15","22","6"
"Clear Creek","Tue, 2011-09-20 12:15","26","7"
"Clear Creek","Tue, 2011-09-20 12:15","27","8"
"Clear Creek","Tue, 2011-09-20 12:15","28","9"
"Clear Creek","Tue, 2011-09-20 12:15","33","10"
"Clear Creek","Tue, 2011-09-20 12:15","34","11"
"Clear Creek","Tue, 2011-09-20 10:30","15",""
"Clear Creek","Tue, 2011-09-20 10:30","18","1"
"Clear Creek","Tue, 2011-09-20 10:30","21","2"
"Clear Creek","Tue, 2011-09-20 10:30","22","3"
"Clear Creek","Tue, 2011-09-20 10:30","23","4"
"Clear Creek","Tue, 2011-09-20 10:30","24","5"
"Clear Creek","Tue, 2011-09-20 10:30","27","6"
"Clear Creek","Tue, 2011-09-20 10:30","28","7"
"Clear Creek","Tue, 2011-09-20 10:30","33","8"
"Clear Creek","Tue, 2011-09-20 10:30","34","9"
"Clear Creek","Thu, 2011-11-03 17:30","20",""
"Clear Creek","Thu, 2011-11-03 17:30","21","1"
"Clear Creek","Thu, 2011-11-03 17:30","26","2"
"Clear Creek","Thu, 2011-11-03 17:30","27","3"
"Clear Creek","Thu, 2011-11-03 17:30","28","4"
"Clear Creek","Thu, 2011-11-03 17:30","33","5"
"Clear Creek","Thu, 2011-11-03 17:30","34","6"
"Owyhee Reservoir, near Nyssa, Oregon","Tue, 2012-08-07 20:00","",""
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","3",""
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","4","1"
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","10","2"
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","11","3"
"Enterprise City Park","Wed, 2012-10-24 09:30","",""
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","3",""
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","4","1"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","8","2"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","9","3"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","11","4"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","14","5"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","15","6"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","16","7"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","17","8"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","19","9"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","20","10"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","21","11"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","22","12"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","23","13"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","26","14"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","27","15"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","28","16"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","33","17"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","3",""
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","4","1"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","8","2"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","9","3"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","10","4"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","11","5"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","13","6"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","14","7"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","15","8"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","16","9"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","17","10"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","18","11"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","19","12"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","20","13"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","21","14"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","22","15"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","23","16"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","24","17"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","26","18"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","27","19"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","28","20"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","29","21"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","33","22"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","34","23"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","3",""
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","4","1"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","8","2"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","9","3"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","10","4"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","11","5"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","14","6"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","15","7"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","16","8"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","17","9"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","18","10"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","20","11"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","21","12"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","22","13"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","23","14"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","24","15"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","26","16"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","27","17"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","29","18"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","33","19"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","34","20"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","4",""
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","11","1"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","13","2"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","14","3"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","16","4"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","18","5"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","22","6"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","23","7"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","24","8"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","26","9"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","27","10"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","28","11"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","29","12"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","33","13"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","34","14"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","3",""
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","4","1"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","8","2"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","9","3"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","10","4"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","11","5"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","14","6"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","15","7"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","16","8"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","17","9"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","21","10"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","22","11"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","23","12"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","26","13"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","27","14"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","28","15"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","29","16"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","33","17"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","34","18"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","4",""
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","8","1"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","10","2"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","11","3"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","13","4"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","14","5"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","15","6"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","16","7"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","17","8"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","18","9"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","19","10"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","20","11"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","21","12"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","22","13"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","23","14"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","24","15"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","26","16"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","27","17"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","28","18"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","29","19"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","33","20"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","34","21"
"Bear Creek","Tue, 2012-10-30 10:50","3",""
"Bear Creek","Tue, 2012-10-30 10:50","4","1"
"Bear Creek","Tue, 2012-10-30 10:50","9","2"
"Bear Creek","Tue, 2012-10-30 10:50","10","3"
"Bear Creek","Tue, 2012-10-30 10:50","13","4"
"Bear Creek","Tue, 2012-10-30 10:50","14","5"
"Bear Creek","Tue, 2012-10-30 10:50","15","6"
"Bear Creek","Tue, 2012-10-30 10:50","17","7"
"Bear Creek","Tue, 2012-10-30 10:50","18","8"
"Bear Creek","Tue, 2012-10-30 10:50","22","9"
"Bear Creek","Tue, 2012-10-30 10:50","23","10"
"Bear Creek","Tue, 2012-10-30 10:50","24","11"
"Bear Creek","Tue, 2012-10-30 10:50","26","12"
"Bear Creek","Tue, 2012-10-30 10:50","27","13"
"Bear Creek","Tue, 2012-10-30 10:50","28","14"
"Bear Creek","Tue, 2012-10-30 10:50","29","15"
"Bear Creek","Tue, 2012-10-30 10:50","33","16"
"Bear Creek","Tue, 2012-10-30 10:50","13",""
"Bear Creek","Tue, 2012-10-30 10:50","14","1"
"Bear Creek","Tue, 2012-10-30 10:50","15","2"
"Bear Creek","Tue, 2012-10-30 10:50","16","3"
"Bear Creek","Tue, 2012-10-30 10:50","18","4"
"Bear Creek","Tue, 2012-10-30 10:50","19","5"
"Bear Creek","Tue, 2012-10-30 10:50","22","6"
"Bear Creek","Tue, 2012-10-30 10:50","24","7"
"Bear Creek","Tue, 2012-10-30 10:50","8",""
"Bear Creek","Tue, 2012-10-30 10:50","11","1"
"Bear Creek","Tue, 2012-10-30 10:50","13","2"
"Bear Creek","Tue, 2012-10-30 10:50","14","3"
"Bear Creek","Tue, 2012-10-30 10:50","17","4"
"Bear Creek","Tue, 2012-10-30 10:50","19","5"
"Bear Creek","Tue, 2012-10-30 10:50","22","6"
"Bear Creek","Tue, 2012-10-30 10:50","23","7"
"Bear Creek","Tue, 2012-10-30 10:50","24","8"
"Bear Creek","Tue, 2012-10-30 10:50","28","9"
"Bear Creek","Tue, 2012-10-30 10:50","29","10"
"Bear Creek","Thu, 2012-11-01 10:00","3",""
"Bear Creek","Thu, 2012-11-01 10:00","4","1"
"Bear Creek","Thu, 2012-11-01 10:00","8","2"
"Bear Creek","Thu, 2012-11-01 10:00","9","3"
"Bear Creek","Thu, 2012-11-01 10:00","10","4"
"Bear Creek","Thu, 2012-11-01 10:00","11","5"
"Bear Creek","Thu, 2012-11-01 10:00","13","6"
"Bear Creek","Thu, 2012-11-01 10:00","14","7"
"Bear Creek","Thu, 2012-11-01 10:00","15","8"
"Bear Creek","Thu, 2012-11-01 10:00","16","9"
"Bear Creek","Thu, 2012-11-01 10:00","17","10"
"Bear Creek","Thu, 2012-11-01 10:00","18","11"
"Bear Creek","Thu, 2012-11-01 10:00","21","12"
"Joseph City Park","Mon, 2012-11-05 10:57","3",""
"Joseph City Park","Mon, 2012-11-05 10:57","4","1"
"Joseph City Park","Mon, 2012-11-05 10:57","9","2"
"Joseph City Park","Mon, 2012-11-05 10:57","10","3"
"Joseph City Park","Mon, 2012-11-05 10:57","11","4"
"Joseph City Park","Mon, 2012-11-05 10:57","16","5"
"Joseph City Park","Mon, 2012-11-05 10:57","17","6"
"Joseph City Park","Mon, 2012-11-05 10:57","18","7"
"Joseph City Park","Mon, 2012-11-05 10:57","21","8"
"Joseph City Park","Mon, 2012-11-05 10:57","22","9"
"Joseph City Park","Mon, 2012-11-05 10:57","23","10"
"Joseph City Park","Mon, 2012-11-05 10:57","27","11"
"Joseph City Park","Mon, 2012-11-05 10:57","28","12"
"Joseph City Park","Wed, 2012-11-07 10:15","18",""
"Joseph City Park","Wed, 2012-11-07 10:15","24","1"
"Joseph Prairie Creek","Mon, 2012-11-05 11:30","",""
"Clear Creek","Tue, 2013-08-06 11:03","8",""
"Clear Creek","Tue, 2013-08-06 11:03","13","1"
"Clear Creek","Tue, 2013-08-06 11:03","14","2"
"Clear Creek","Tue, 2013-08-06 11:03","19","3"
"Clear Creek","Tue, 2013-08-06 11:03","20","4"
"Clear Creek","Tue, 2013-08-06 11:03","22","5"
"Clear Creek","Tue, 2013-08-06 11:03","23","6"
"Clear Creek","Tue, 2013-08-06 11:03","27","7"
"Clear Creek","Tue, 2013-08-06 11:03","29","8"
"Clear Creek","Tue, 2013-08-06 11:03","34","9"
"Enterprise City Park","Tue, 2013-10-22 08:45","26",""
"Enterprise City Park","Tue, 2013-10-22 08:45","33","1"
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","4",""
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","10","1"
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","11","2"
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","18","3"
"Joseph City Park","Wed, 2013-10-09 10:39","3",""
"Joseph City Park","Mon, 2013-10-28 10:02","3",""
"Joseph City Park","Mon, 2013-10-28 10:02","4","1"
"Joseph City Park","Mon, 2013-10-28 10:02","8","2"
"Joseph City Park","Mon, 2013-10-28 10:02","9","3"
"Wallowa River Tamkaliks Site","Tue, 2013-11-05 13:15","26",""
"Wallowa River Tamkaliks Site","Tue, 2013-11-05 13:15","27","1"
"Wallowa River Tamkaliks Site","Tue, 2013-11-05 13:15","33","2"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","3",""
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","4","1"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","8","2"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","9","3"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","10","4"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","11","5"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","13","6"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","14","7"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","15","8"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","18","9"
