"Stream/Site name","Collected","West","Delta"
"Riverside Campground","Thu, 2010-10-07 (All day)","29","9"
"Riverside Campground","Thu, 2010-10-07 (All day)","33","10"
"Riverside Campground","Thu, 2010-10-07 (All day)","34","11"
"Riverside Campground","Tue, 2010-10-05 (All day)","13",""
"Riverside Campground","Tue, 2010-10-05 (All day)","4",""
"Riverside Campground","Tue, 2010-10-05 (All day)","10","1"
"Riverside Campground","Tue, 2010-10-05 (All day)","11","2"
"Riverside Campground","Tue, 2010-10-05 (All day)","21","3"
"Riverside Campground","Tue, 2010-10-05 (All day)","22","4"
"Riverside Campground","Tue, 2010-10-05 (All day)","23","5"
"Riverside Campground","Tue, 2010-10-05 (All day)","24","6"
"Riverside Campground","Tue, 2010-10-05 (All day)","27","7"
"Riverside Campground","Tue, 2010-10-05 (All day)","28","8"
"Riverside Campground","Tue, 2010-10-05 (All day)","29","9"
"Riverside Campground","Tue, 2010-10-05 (All day)","33","10"
"Riverside Campground","Tue, 2010-10-05 (All day)","34","11"
"Riverside Campground","Tue, 2010-10-05 11:55","13",""
"Riverside Campground","Tue, 2010-10-05 11:55","33","1"
"Riverside Campground","Tue, 2010-10-05 (All day)","9",""
"Riverside Campground","Tue, 2010-10-05 (All day)","13",""
"Riverside Campground","Tue, 2010-10-05 02:00","9",""
"Riverside Campground","Tue, 2010-10-05 10:00","9",""
"Riverside Campground","Tue, 2010-10-05 11:45","6",""
"SE Belmont","Thu, 2010-10-14 23:03","20",""
"SE Belmont","Tue, 2010-10-26 14:04","16",""
"SE Belmont","Tue, 2010-10-26 14:04","17","1"
"SE Belmont","Tue, 2010-10-26 14:04","18","2"
"SE Belmont","Tue, 2010-10-26 14:04","20","3"
"SE Belmont","Tue, 2010-10-26 14:04","21","4"
"SE Belmont","Tue, 2010-10-26 14:04","22","5"
"SE Belmont","Tue, 2010-10-26 14:04","23","6"
"SE Belmont","Tue, 2010-10-26 14:04","24","7"
"Cedar Creek","Wed, 2010-11-10 12:13","",""
"Clear Creek","Mon, 2011-01-24 13:49","3",""
"Clear Creek","Mon, 2011-01-24 13:49","4","1"
"Clear Creek","Mon, 2011-01-24 13:49","10","2"
"Clear Creek","Mon, 2011-01-24 13:49","11","3"
"Clear Creek","Mon, 2011-01-24 13:49","13","4"
"Clear Creek","Mon, 2011-01-24 13:49","14","5"
"Clear Creek","Mon, 2011-01-24 13:49","16","6"
"Clear Creek","Mon, 2011-01-24 13:49","17","7"
"Clear Creek","Mon, 2011-01-24 13:49","18","8"
"Clear Creek","Mon, 2011-01-24 13:49","19","9"
"Clear Creek","Mon, 2011-01-24 13:49","20","10"
"Clear Creek","Mon, 2011-01-24 13:49","22","11"
"Clear Creek","Mon, 2011-01-24 13:49","23","12"
"SE Belmont","Thu, 2011-04-14 09:57","20",""
"SE Belmont","Thu, 2011-04-14 09:57","21","1"
"SE Belmont","Thu, 2011-04-14 09:57","27","2"
"SE Belmont","Thu, 2011-04-14 09:57","28","3"
"SE Belmont","Tue, 2011-04-05 21:59","4",""
"SE Belmont","Tue, 2011-04-05 21:59","10","1"
"SE Belmont","Tue, 2011-04-05 21:59","11","2"
"SE Belmont","Tue, 2011-04-05 21:59","16","3"
"SE Belmont","Tue, 2011-04-05 21:59","17","4"
"SE Belmont","Tue, 2011-04-05 21:59","22","5"
"SE Belmont","Tue, 2011-04-05 21:59","23","6"
"SE Belmont","Tue, 2011-04-05 21:59","28","7"
"SE Belmont","Tue, 2011-04-05 21:59","29","8"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","3",""
"Oregon 4-H Center","Thu, 2011-08-04 13:30","4","1"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","8","2"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","9","3"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","10","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","11","5"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","13","6"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","14","7"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","15","8"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","16","9"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","17","10"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","18","11"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","19","12"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","20","13"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","21","14"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","22","15"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","23","16"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","26","17"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","27","18"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","28","19"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","3",""
"Oregon 4-H Center","Thu, 2011-08-04 13:45","4","1"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","8","2"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","9","3"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","10","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","11","5"
"Clear Creek","Tue, 2011-08-30 11:09","13",""
"Clear Creek","Tue, 2011-08-30 11:09","14","1"
"Clear Creek","Tue, 2011-08-30 11:09","15","2"
"Clear Creek","Tue, 2011-08-30 11:09","19","3"
"Clear Creek","Tue, 2011-08-30 11:09","20","4"
"Clear Creek","Tue, 2011-08-30 11:09","21","5"
"Clear Creek","Tue, 2011-08-30 11:09","26","6"
"Clear Creek","Tue, 2011-08-30 11:09","27","7"
"Clear Creek","Tue, 2011-08-30 11:09","28","8"
"Clear Creek","Tue, 2011-08-30 11:09","33","9"
"Clear Creek","Tue, 2011-08-30 11:09","34","10"
"Clear Creek","Tue, 2011-09-20 12:15","4",""
"Clear Creek","Tue, 2011-09-20 12:15","8","1"
"Clear Creek","Tue, 2011-09-20 12:15","9","2"
"Clear Creek","Tue, 2011-09-20 12:15","13","3"
"Clear Creek","Tue, 2011-09-20 12:15","14","4"
"Clear Creek","Tue, 2011-09-20 12:15","16","5"
"Clear Creek","Tue, 2011-09-20 12:15","19","6"
"Clear Creek","Tue, 2011-09-20 12:15","20","7"
"Clear Creek","Tue, 2011-09-20 12:15","21","8"
"Clear Creek","Tue, 2011-09-20 12:15","22","9"
"Clear Creek","Tue, 2011-09-20 10:30","8",""
"Clear Creek","Tue, 2011-09-20 10:30","13","1"
"Clear Creek","Tue, 2011-09-20 10:30","14","2"
"Clear Creek","Tue, 2011-09-20 10:30","15","3"
"Clear Creek","Tue, 2011-09-20 10:30","16","4"
"Clear Creek","Tue, 2011-09-20 10:30","19","5"
"Clear Creek","Tue, 2011-09-20 10:30","20","6"
"Clear Creek","Tue, 2011-09-20 10:30","21","7"
"Clear Creek","Tue, 2011-09-20 10:30","26","8"
"Clear Creek","Tue, 2011-09-20 10:30","27","9"
"Clear Creek","Tue, 2011-09-20 10:30","33","10"
"Clear Creek","Thu, 2011-11-03 17:30","3",""
"Clear Creek","Thu, 2011-11-03 17:30","9","1"
"Clear Creek","Thu, 2011-11-03 17:30","14","2"
"Owyhee Reservoir, near Nyssa, Oregon","Tue, 2012-08-07 20:00","",""
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","",""
"Enterprise City Park","Wed, 2012-10-24 09:30","4",""
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","3",""
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","4","1"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","10","2"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","11","3"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","17","4"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","18","5"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","21","6"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","22","7"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","23","8"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","24","9"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","27","10"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","28","11"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","29","12"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","33","13"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","34","14"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","10",""
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","11","1"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","15","2"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","16","3"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","17","4"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","18","5"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","19","6"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","22","7"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","23","8"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","24","9"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","26","10"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","27","11"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","28","12"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","29","13"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","33","14"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","34","15"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","3",""
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","4","1"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","9","2"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","10","3"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","11","4"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","15","5"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","16","6"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","17","7"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","18","8"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","19","9"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","20","10"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","21","11"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","22","12"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","23","13"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","24","14"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","26","15"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","29","16"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","13",""
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","14","1"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","16","2"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","17","3"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","18","4"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","19","5"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","21","6"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","22","7"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","23","8"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","24","9"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","26","10"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","27","11"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","28","12"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","29","13"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","33","14"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","34","15"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","",""
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","4",""
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","8","1"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","9","2"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","10","3"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","11","4"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","13","5"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","14","6"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","15","7"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","16","8"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","17","9"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","18","10"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","19","11"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","20","12"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","21","13"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","22","14"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","23","15"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","24","16"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","26","17"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","27","18"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","28","19"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","29","20"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","33","21"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","34","22"
"Bear Creek","Tue, 2012-10-30 10:50","3",""
"Bear Creek","Tue, 2012-10-30 10:50","8","1"
"Bear Creek","Tue, 2012-10-30 10:50","9","2"
"Bear Creek","Tue, 2012-10-30 10:50","15","3"
"Bear Creek","Tue, 2012-10-30 10:50","20","4"
"Bear Creek","Tue, 2012-10-30 10:50","21","5"
"Bear Creek","Tue, 2012-10-30 10:50","22","6"
"Bear Creek","Tue, 2012-10-30 10:50","24","7"
"Bear Creek","Tue, 2012-10-30 10:50","26","8"
"Bear Creek","Tue, 2012-10-30 10:50","27","9"
"Bear Creek","Tue, 2012-10-30 10:50","3",""
"Bear Creek","Tue, 2012-10-30 10:50","4","1"
"Bear Creek","Tue, 2012-10-30 10:50","10","2"
"Bear Creek","Tue, 2012-10-30 10:50","18","3"
"Bear Creek","Tue, 2012-10-30 10:50","29","4"
"Bear Creek","Tue, 2012-10-30 10:50","4",""
"Bear Creek","Tue, 2012-10-30 10:50","10","1"
"Bear Creek","Tue, 2012-10-30 10:50","11","2"
"Bear Creek","Tue, 2012-10-30 10:50","13","3"
"Bear Creek","Tue, 2012-10-30 10:50","15","4"
"Bear Creek","Tue, 2012-10-30 10:50","16","5"
"Bear Creek","Tue, 2012-10-30 10:50","17","6"
"Bear Creek","Tue, 2012-10-30 10:50","18","7"
"Bear Creek","Tue, 2012-10-30 10:50","19","8"
"Bear Creek","Tue, 2012-10-30 10:50","21","9"
"Bear Creek","Tue, 2012-10-30 10:50","22","10"
"Bear Creek","Tue, 2012-10-30 10:50","23","11"
"Bear Creek","Tue, 2012-10-30 10:50","24","12"
"Bear Creek","Tue, 2012-10-30 10:50","26","13"
"Bear Creek","Tue, 2012-10-30 10:50","27","14"
"Bear Creek","Tue, 2012-10-30 10:50","28","15"
"Bear Creek","Tue, 2012-10-30 10:50","29","16"
"Bear Creek","Tue, 2012-10-30 10:50","34","17"
"Bear Creek","Thu, 2012-11-01 10:00","3",""
"Bear Creek","Thu, 2012-11-01 10:00","4","1"
"Bear Creek","Thu, 2012-11-01 10:00","9","2"
"Bear Creek","Thu, 2012-11-01 10:00","10","3"
"Bear Creek","Thu, 2012-11-01 10:00","11","4"
"Bear Creek","Thu, 2012-11-01 10:00","15","5"
"Bear Creek","Thu, 2012-11-01 10:00","16","6"
"Bear Creek","Thu, 2012-11-01 10:00","17","7"
"Bear Creek","Thu, 2012-11-01 10:00","18","8"
"Bear Creek","Thu, 2012-11-01 10:00","21","9"
"Bear Creek","Thu, 2012-11-01 10:00","22","10"
"Bear Creek","Thu, 2012-11-01 10:00","23","11"
"Bear Creek","Thu, 2012-11-01 10:00","28","12"
"Joseph City Park","Mon, 2012-11-05 10:57","4",""
"Joseph City Park","Mon, 2012-11-05 10:57","26","1"
"Joseph City Park","Wed, 2012-11-07 10:15","3",""
"Joseph City Park","Wed, 2012-11-07 10:15","4","1"
"Joseph City Park","Wed, 2012-11-07 10:15","8","2"
"Joseph City Park","Wed, 2012-11-07 10:15","9","3"
"Joseph City Park","Wed, 2012-11-07 10:15","10","4"
"Joseph City Park","Wed, 2012-11-07 10:15","11","5"
"Joseph City Park","Wed, 2012-11-07 10:15","13","6"
"Joseph City Park","Wed, 2012-11-07 10:15","14","7"
"Joseph City Park","Wed, 2012-11-07 10:15","15","8"
"Joseph City Park","Wed, 2012-11-07 10:15","16","9"
"Joseph City Park","Wed, 2012-11-07 10:15","17","10"
"Joseph City Park","Wed, 2012-11-07 10:15","19","11"
"Joseph City Park","Wed, 2012-11-07 10:15","20","12"
"Joseph City Park","Wed, 2012-11-07 10:15","21","13"
"Joseph City Park","Wed, 2012-11-07 10:15","26","14"
"Joseph Prairie Creek","Mon, 2012-11-05 11:30","",""
"Clear Creek","Tue, 2013-08-06 11:03","8",""
"Clear Creek","Tue, 2013-08-06 11:03","13","1"
"Clear Creek","Tue, 2013-08-06 11:03","14","2"
"Clear Creek","Tue, 2013-08-06 11:03","18","3"
"Clear Creek","Tue, 2013-08-06 11:03","19","4"
"Clear Creek","Tue, 2013-08-06 11:03","20","5"
"Clear Creek","Tue, 2013-08-06 11:03","21","6"
"Clear Creek","Tue, 2013-08-06 11:03","23","7"
"Clear Creek","Tue, 2013-08-06 11:03","26","8"
"Clear Creek","Tue, 2013-08-06 11:03","27","9"
"Clear Creek","Tue, 2013-08-06 11:03","29","10"
"Clear Creek","Tue, 2013-08-06 11:03","33","11"
"Enterprise City Park","Tue, 2013-10-22 08:45","18",""
"Enterprise City Park","Tue, 2013-10-22 08:45","23","1"
"Enterprise City Park","Tue, 2013-10-22 08:45","24","2"
"Enterprise City Park","Tue, 2013-10-22 08:45","28","3"
"Enterprise City Park","Tue, 2013-10-22 08:45","29","4"
"Enterprise City Park","Tue, 2013-10-22 08:45","33","5"
"Enterprise City Park","Tue, 2013-10-22 08:45","34","6"
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","13",""
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","14","1"
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","19","2"
"Joseph City Park","Wed, 2013-10-09 10:39","29",""
"Joseph City Park","Mon, 2013-10-28 10:02","3",""
"Joseph City Park","Mon, 2013-10-28 10:02","8","1"
"Joseph City Park","Mon, 2013-10-28 10:02","9","2"
"Wallowa River Tamkaliks Site","Tue, 2013-11-05 13:15","21",""
"Wallowa River Tamkaliks Site","Tue, 2013-11-05 13:15","22","1"
"Wallowa River Tamkaliks Site","Tue, 2013-11-05 13:15","27","2"
"Wallowa River Tamkaliks Site","Tue, 2013-11-05 13:15","28","3"
"Wallowa River Tamkaliks Site","Tue, 2013-11-05 13:15","29","4"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","19",""
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","20","1"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","21","2"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","22","3"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","26","4"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","27","5"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","28","6"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","29","7"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","33","8"
"Wallowa River Tamkaliks Site","Wed, 2013-11-06 13:00","34","9"
"Bear Creek","Tue, 2013-11-05 14:00","3",""
"Bear Creek","Tue, 2013-11-05 14:00","4","1"
"Bear Creek","Tue, 2013-11-05 14:00","8","2"
"Bear Creek","Tue, 2013-11-05 14:00","9","3"
"Bear Creek","Tue, 2013-11-05 14:00","10","4"
"Bear Creek","Tue, 2013-11-05 14:00","13","5"
"Bear Creek","Tue, 2013-11-05 14:00","14","6"
"Bear Creek","Tue, 2013-11-05 14:00","15","7"
"Bear Creek","Tue, 2013-11-05 14:00","16","8"
"Bear Creek","Tue, 2013-11-05 14:00","19","9"
"Bear Creek","Tue, 2013-11-05 14:00","20","10"
"Bear Creek","Tue, 2013-11-05 14:00","21","11"
"Bear Creek","Tue, 2013-11-05 14:00","22","12"
"Bear Creek","Wed, 2013-11-06 14:02","3",""
"Bear Creek","Wed, 2013-11-06 14:02","4","1"
"Bear Creek","Wed, 2013-11-06 14:02","8","2"
"Bear Creek","Wed, 2013-11-06 14:02","9","3"
"Bear Creek","Wed, 2013-11-06 14:02","10","4"
"Bear Creek","Wed, 2013-11-06 14:02","11","5"
"Bear Creek","Wed, 2013-11-06 14:02","14","6"
"Bear Creek","Wed, 2013-11-06 14:02","15","7"
"Bear Creek","Wed, 2013-11-06 14:02","16","8"
"Bear Creek","Wed, 2013-11-06 14:02","18","9"
"Bear Creek","Wed, 2013-11-06 14:02","22","10"
"Bear Creek","Wed, 2013-11-06 14:02","33","11"
"Grande Ronde River","Wed, 2013-10-16 10:30","3",""
"Grande Ronde River","Wed, 2013-10-16 10:30","4","1"
"Grande Ronde River","Wed, 2013-10-16 10:30","8","2"
"Grande Ronde River","Wed, 2013-10-16 10:30","9","3"
"Grande Ronde River","Wed, 2013-10-16 10:30","14","4"
"Grande Ronde River","Wed, 2013-10-16 10:30","15","5"
"Grande Ronde River","Wed, 2013-10-16 10:30","16","6"
"Grande Ronde River","Wed, 2013-10-16 10:30","17","7"
"Grande Ronde River","Wed, 2013-10-16 10:30","20","8"
"Grande Ronde River","Wed, 2013-10-16 10:30","21","9"
"Grande Ronde River","Wed, 2013-10-16 10:30","22","10"
"Wenaha River","Wed, 2013-10-16 13:45","3",""
"Wenaha River","Wed, 2013-10-16 13:45","4","1"
"Wenaha River","Wed, 2013-10-16 13:45","8","2"
"Wenaha River","Wed, 2013-10-16 13:45","9","3"
"Wenaha River","Wed, 2013-10-16 13:45","10","4"
"Wenaha River","Wed, 2013-10-16 13:45","11","5"
"Wenaha River","Wed, 2013-10-16 13:45","13","6"
"Wenaha River","Wed, 2013-10-16 13:45","14","7"
