"Stream/Site name","Collected","South","Delta","Nid","Uid"
"SE Belmont","Fri, 2010-07-23 15:33","27","4","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","28","5","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","29","6","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","33","7","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","34","8","2372","1"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","8","","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","9","1","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","10","2","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","11","3","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","14","4","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","15","5","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","16","6","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","17","7","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","20","8","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","21","9","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","22","10","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","23","11","2377","10"
"SE Belmont","Mon, 2010-09-06 (All day)","3","","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","4","1","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","8","2","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","9","3","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","10","4","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","15","5","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","17","6","2578","1"
"Salmon River #1","Thu, 2010-09-23 (All day)","","","2673","99"
"Riverside Campground","Thu, 2010-10-07 (All day)","3","","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","4","1","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","8","2","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","9","3","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","10","4","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","11","5","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","13","6","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","14","7","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","15","8","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","16","9","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","17","10","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","18","11","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","20","12","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","21","13","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","22","14","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","23","15","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","24","16","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","27","17","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","28","18","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","29","19","2719","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","10","","2721","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","3","","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","4","1","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","8","2","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","9","3","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","10","4","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","11","5","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","13","6","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","14","7","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","15","8","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","16","9","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","17","10","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","18","11","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","20","12","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","21","13","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","22","14","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","23","15","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","24","16","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","27","17","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","28","18","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","29","19","2723","117"
"Riverside Campground","Tue, 2010-10-05 11:55","10","","2728","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","12","","2729","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","10","","2732","117"
"Riverside Campground","Tue, 2010-10-05 02:00","13","","2733","117"
"Riverside Campground","Tue, 2010-10-05 10:00","15","","2734","117"
"Riverside Campground","Tue, 2010-10-05 11:45","8","","2739","117"
"SE Belmont","Thu, 2010-10-14 23:03","23","","2745","1"
"SE Belmont","Tue, 2010-10-26 14:04","","","2746","14"
"Cedar Creek","Wed, 2010-11-10 12:13","4","","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","11","1","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","14","2","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","16","3","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","17","4","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","19","5","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","21","6","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","23","7","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","27","8","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","29","9","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","34","10","3019","57"
"Clear Creek","Mon, 2011-01-24 13:49","13","","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","14","1","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","15","2","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","19","3","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","20","4","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","21","5","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","22","6","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","23","7","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","24","8","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","26","9","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","27","10","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","28","11","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","29","12","3099","15"
"SE Belmont","Thu, 2011-04-14 09:57","28","","3124","1"
"SE Belmont","Thu, 2011-04-14 09:57","29","1","3124","1"
"SE Belmont","Thu, 2011-04-14 09:57","34","2","3124","1"
"SE Belmont","Tue, 2011-04-05 21:59","20","","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","21","1","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","22","2","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","28","3","3136","1"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","3","","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","4","1","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","8","2","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","9","3","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","10","4","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","11","5","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","13","6","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","14","7","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","15","8","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","16","9","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","17","10","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","18","11","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","19","12","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","20","13","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","21","14","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","22","15","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","23","16","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","24","17","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","26","18","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","27","19","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","33","20","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","3","","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","4","1","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","8","2","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","9","3","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","10","4","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","11","5","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","13","6","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","14","7","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","15","8","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","16","9","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","17","10","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","18","11","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","19","12","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","20","13","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","21","14","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","23","15","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","24","16","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","26","17","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","28","18","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","29","19","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","33","20","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","34","21","3213","4"
"Clear Creek","Tue, 2011-08-30 11:09","3","","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","8","1","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","9","2","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","13","3","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","14","4","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","15","5","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","19","6","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","20","7","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","21","8","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","26","9","3272","15"
"Clear Creek","Tue, 2011-09-20 12:15","3","","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","4","1","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","9","2","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","10","3","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","11","4","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","15","5","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","16","6","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","17","7","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","18","8","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","22","9","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","23","10","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","27","11","3307","4"
"Clear Creek","Tue, 2011-09-20 10:30","3","","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","4","1","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","9","2","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","10","3","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","15","4","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","16","5","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","17","6","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","22","7","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","23","8","3309","4"
"Clear Creek","Thu, 2011-11-03 17:30","11","","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","17","1","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","18","2","3649","4"
"Owyhee Reservoir, near Nyssa, Oregon","Tue, 2012-08-07 20:00","","","4324","78"
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","3","","4483","109"
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","4","1","4483","109"
"Enterprise City Park","Wed, 2012-10-24 09:30","","","4488","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","10","","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","13","1","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","14","2","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","15","3","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","16","4","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","19","5","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","20","6","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","21","7","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","26","8","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","27","9","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","28","10","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","3","","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","8","1","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","9","2","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","10","3","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","13","4","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","14","5","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","15","6","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","16","7","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","17","8","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","18","9","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","19","10","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","20","11","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","21","12","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","22","13","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","23","14","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","26","15","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","27","16","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","28","17","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","29","18","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","33","19","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","34","20","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","3","","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","19","1","4585","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","8","","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","10","1","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","13","2","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","14","3","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","15","4","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","16","5","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","17","6","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","18","7","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","19","8","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","20","9","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","21","10","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","22","11","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","23","12","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","24","13","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","26","14","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","27","15","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","28","16","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","29","17","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","33","18","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","34","19","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","8","","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","9","1","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","13","2","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","14","3","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","15","4","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","19","5","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","20","6","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","21","7","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","26","8","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","27","9","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","28","10","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","29","11","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","33","12","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","34","13","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","3","","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","4","1","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","8","2","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","9","3","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","10","4","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","11","5","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","13","6","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","16","7","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","17","8","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","18","9","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","19","10","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","22","11","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","23","12","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","24","13","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","26","14","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","28","15","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","29","16","4589","109"
"Bear Creek","Tue, 2012-10-30 10:50","3","","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","4","1","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","8","2","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","9","3","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","10","4","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","11","5","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","13","6","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","14","7","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","15","8","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","19","9","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","20","10","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","21","11","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","24","12","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","26","13","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","29","14","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","3","","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","9","1","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","10","2","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","15","3","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","19","4","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","21","5","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","26","6","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","27","7","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","18","","4597","109"
"Bear Creek","Tue, 2012-10-30 10:50","24","1","4597","109"
"Bear Creek","Thu, 2012-11-01 10:00","13","","4598","109"
"Bear Creek","Thu, 2012-11-01 10:00","19","1","4598","109"
"Joseph City Park","Mon, 2012-11-05 10:57","","","4625","109"
"Joseph City Park","Wed, 2012-11-07 10:15","3","","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","4","1","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","8","2","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","9","3","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","10","4","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","11","5","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","15","6","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","16","7","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","17","8","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","18","9","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","19","10","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","21","11","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","22","12","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","23","13","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","24","14","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","28","15","4628","109"
"Joseph City Park","Wed, 2012-11-07 10:15","29","16","4628","109"
"Joseph Prairie Creek","Mon, 2012-11-05 11:30","","","4635","109"
"Clear Creek","Tue, 2013-08-06 11:03","4","","4962","4"
"Clear Creek","Tue, 2013-08-06 11:03","10","1","4962","4"
"Clear Creek","Tue, 2013-08-06 11:03","11","2","4962","4"
"Clear Creek","Tue, 2013-08-06 11:03","16","3","4962","4"
"Clear Creek","Tue, 2013-08-06 11:03","17","4","4962","4"
"Clear Creek","Tue, 2013-08-06 11:03","18","5","4962","4"
"Clear Creek","Tue, 2013-08-06 11:03","24","6","4962","4"
"Clear Creek","Tue, 2013-08-06 11:03","28","7","4962","4"
"Clear Creek","Tue, 2013-08-06 11:03","29","8","4962","4"
"Clear Creek","Tue, 2013-08-06 11:03","34","9","4962","4"
"Enterprise City Park","Tue, 2013-10-22 08:45","21","","5025","109"
"Enterprise City Park","Tue, 2013-10-22 08:45","22","1","5025","109"
"Enterprise City Park","Tue, 2013-10-22 08:45","27","2","5025","109"
"Enterprise City Park","Tue, 2013-10-22 08:45","28","3","5025","109"
"Enterprise City Park","Tue, 2013-10-22 08:45","33","4","5025","109"
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","26","","5029","109"
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","27","1","5029","109"
"Enterprise Marr Pond Site","Tue, 2013-10-22 10:06","28","2","5029","109"
