"Collected","Stream/Site name","Landscape Position","Cover Type","Land Use","Distance From Stream","Distinguishing Site Characteristics","My Soil Type Is","Uid","Name"
"Wed, 2014-03-12 (All day)","Hamilton Creek - LHS & Santiam Watershed Council","Stream Bank","Grass","Agricultural","350","shady, few trees, wet ground","LOAM (D)","611","South Santiam W..."
"Wed, 2014-03-12 (All day)","Hamilton Creek - LHS & Santiam Watershed Council","Slope","Grass","Agricultural","70","flooded low area","SILT LOAM (C)","611","South Santiam W..."
"Wed, 2014-03-12 (All day)","Hamilton Creek - LHS & Santiam Watershed Council","Slope","Grass","Agricultural","36","flooded area","HEAVY CLAY (G)","611","South Santiam W..."
"Wed, 2014-03-12 09:42","Hamilton Creek - LHS & Santiam Watershed Council","Stream Bank","Grass","Agricultural","6","by stream, clay-like, wet grassy area, covered with leaves, oak canopy","SILT LOAM (C)","611","South Santiam W..."
"Thu, 2014-05-08 11:41","Ramona Falls","Summit","Rocks","Wilderness","2","<p>prettiness, yo.&nbsp;</p>","HEAVY CLAY (G)","239","tdw"
"Wed, 2014-08-13 13:30","Hesthavn Nature Center","Large Flat Area","Grass","Recreation","18 feet","<p>Thick layer surface vegetation</p>","LOAMY SAND (B)","656","smile.program"
"Wed, 2014-08-13 13:30","Hesthavn Nature Center","Large Flat Area","Grass","Wilderness","18 feet","<p>trees/shade</p>","CLAY LOAM (E)","656","smile.program"
"Tue, 2011-12-20 21:46","Reed Canyon","Slope","Rocks","Wilderness","2","<p>I like to roll down this hill.&nbsp;</p>","SAND (A)","683","Felix Dworkin"
"Sat, 2011-12-31 12:20","Whalen Island","Depression","Rocks","Other","6","blah blah test","SILT LOAM (C)","683","Felix Dworkin"
"Wed, 2014-10-01 13:50","Butte Creek: Bud Netting Park","Depression","Bare Soil","Wilderness","10","Dirt and rocks.","SAND (A)","663","buttefalls"
"Mon, 2015-03-09 12:38","Hamilton Creek - LHS & Santiam Watershed Council","Stream Bank","Trees","Agricultural","15","shadowed and wet","SILT LOAM (C)","611","South Santiam W..."
"Mon, 2015-03-09 12:38","Hamilton Creek - LHS & Santiam Watershed Council","Slope","Grass","Agricultural","100","","SILT LOAM (C)","611","South Santiam W..."
"Mon, 2015-03-09 13:07","Hamilton Creek - LHS & Santiam Watershed Council","Stream Bank","Trees","Agricultural","10","Riparian, worms and ants in soil, shady","SILT LOAM (C)","611","South Santiam W..."
"Mon, 2015-03-09 13:07","Hamilton Creek - LHS & Santiam Watershed Council","Slope","Bare Soil","Agricultural","100","There wasn't much grass, oak trees on slope, flowers","SILT LOAM (C)","611","South Santiam W..."
"Mon, 2015-03-09 13:39","Hamilton Creek - LHS & Santiam Watershed Council","Large Flat Area","Bare Soil","Agricultural","100","lots of oaks next to the school","LOAM (D)","611","South Santiam W..."
"Mon, 2015-03-09 13:39","Hamilton Creek - LHS & Santiam Watershed Council","Stream Bank","Trees","Agricultural","10","grassy with trees","LOAM (D)","611","South Santiam W..."
"Mon, 2015-03-09 12:14","Hamilton Creek - LHS & Santiam Watershed Council","Stream Bank","Trees","Agricultural","10","shrubs, leaves, trees, low level","SILT LOAM (C)","611","South Santiam W..."
"Mon, 2015-03-09 12:00","Hamilton Creek - LHS & Santiam Watershed Council","Large Flat Area","Bare Soil","Agricultural","100","by the old school, dry, flat","SILT LOAM (C)","611","South Santiam W..."
"Wed, 2016-02-24 10:06","Hamilton Creek - LHS & Santiam Watershed Council","Large Flat Area","Bare Soil","Wilderness","","","Loamy Sand","611","South Santiam W..."
"Wed, 2016-02-24 10:00","Hamilton Creek - LHS & Santiam Watershed Council","Large Flat Area","Grass","Recreation","55","flat, traveled, thick grass","Clay Loam","611","South Santiam W..."
"Wed, 2016-02-24 (All day)","Hamilton Creek - LHS & Santiam Watershed Council","Large Flat Area","Grass","Agricultural","51","Flat area above bank, not overgrown, agricultural land, grass","LOAM (D)","611","South Santiam W..."
"Wed, 2016-02-24 09:09","Hamilton Creek - LHS & Santiam Watershed Council","Large Flat Area","Shrubs","Agricultural","90","Muddy with a lot of trees and shrubbery","LOAM (D)","611","South Santiam W..."
"Wed, 2016-02-24 09:03","Hamilton Creek - LHS & Santiam Watershed Council","Large Flat Area","Grass","Agricultural","30","Hollow tree, muddy, leaf cover","LOAM (D)","611","South Santiam W..."
"Wed, 2016-02-24 10:43","Hamilton Creek - LHS & Santiam Watershed Council","Slope","Grass","Agricultural","73","on a slope, halfway down vegetation, rocky","LOAM (D)","611","South Santiam W..."
"Wed, 2016-02-24 10:43","Hamilton Creek - LHS & Santiam Watershed Council","Slope","Grass","Recreation","3","some small animal tracks, trees knocked over","SILT LOAM (C)","611","South Santiam W..."
"Wed, 2016-02-24 08:24","Hamilton Creek - LHS & Santiam Watershed Council","Slope","Rocks","Agricultural","89","","LOAMY SAND (B)","611","South Santiam W..."
"Wed, 2016-02-24 08:23","Hamilton Creek - LHS & Santiam Watershed Council","Stream Bank","Trees","Agricultural","25","rich, mulchy","LIGHT CLAY (F)","611","South Santiam W..."
"Wed, 2016-02-24 08:22","Hamilton Creek - LHS & Santiam Watershed Council","Stream Bank","Trees","Agricultural","25","","CLAY LOAM (E)","611","South Santiam W..."
"Thu, 2016-05-26 08:55","West Olalla Creek","Stream Bank","Trees","Wilderness","5","","LOAMY SAND (B)","1076","Toledo JrSr"
"Thu, 2016-06-02 08:43","West Olalla Creek","Stream Bank","Trees","Wilderness","6","","LOAMY SAND (B)","1076","Toledo JrSr"
"Mon, 2017-04-17 13:30","South Santiam - water treatment exit","Stream Bank","Trees","Recreation","4","There where trees and shrubs right next to my area. the soil was rocky with little to no grass.","LIGHT CLAY (F)","606","emmetwh"
"Tue, 2017-04-18 (All day)","South Santiam - water treatment exit","Stream Bank","Grass","Recreation","40","rocky surface with sand close to water","LOAMY SAND (B)","606","emmetwh"
"Wed, 2017-05-17 09:00","West Olalla Creek","Stream Bank","Bare Soil","Wilderness","10","","SILT LOAM (C)","1076","Toledo JrSr"
