"Stream/Site name","Collected","North","Delta","Nid","Uid"
"SE Belmont","Fri, 2010-07-23 15:33","16","7","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","17","8","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","18","9","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","24","10","2372","1"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","4","","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","9","1","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","11","2","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","14","3","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","18","4","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","19","5","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","23","6","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","26","7","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","28","8","2377","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","33","9","2377","10"
"SE Belmont","Mon, 2010-09-06 (All day)","9","","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","10","1","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","16","2","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","17","3","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","18","4","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","23","5","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","24","6","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","28","7","2578","1"
"SE Belmont","Mon, 2010-09-06 (All day)","29","8","2578","1"
"Salmon River #1","Thu, 2010-09-23 (All day)","3","","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","4","1","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","9","2","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","10","3","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","11","4","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","17","5","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","18","6","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","23","7","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","24","8","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","26","9","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","27","10","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","28","11","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","29","12","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","33","13","2673","99"
"Salmon River #1","Thu, 2010-09-23 (All day)","34","14","2673","99"
"Riverside Campground","Thu, 2010-10-07 (All day)","3","","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","4","1","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","8","2","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","9","3","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","10","4","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","11","5","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","13","6","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","15","7","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","16","8","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","18","9","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","26","10","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","27","11","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","29","12","2719","117"
"Riverside Campground","Thu, 2010-10-07 (All day)","33","13","2719","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","7","","2721","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","3","","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","4","1","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","8","2","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","9","3","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","10","4","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","11","5","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","13","6","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","15","7","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","16","8","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","18","9","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","26","10","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","27","11","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","29","12","2723","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","33","13","2723","117"
"Riverside Campground","Tue, 2010-10-05 11:55","7","","2728","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","17","","2729","117"
"Riverside Campground","Tue, 2010-10-05 (All day)","","","2732","117"
"Riverside Campground","Tue, 2010-10-05 02:00","13","","2733","117"
"Riverside Campground","Tue, 2010-10-05 10:00","11","","2734","117"
"Riverside Campground","Tue, 2010-10-05 11:45","11","","2739","117"
"SE Belmont","Thu, 2010-10-14 23:03","","","2745","1"
"SE Belmont","Tue, 2010-10-26 14:04","4","","2746","14"
"Cedar Creek","Wed, 2010-11-10 12:13","3","","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","4","1","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","8","2","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","9","3","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","10","4","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","11","5","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","13","6","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","17","7","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","18","8","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","19","9","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","23","10","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","24","11","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","27","12","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","28","13","3019","57"
"Cedar Creek","Wed, 2010-11-10 12:13","33","14","3019","57"
"Clear Creek","Mon, 2011-01-24 13:49","3","","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","4","1","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","8","2","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","9","3","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","13","4","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","14","5","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","15","6","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","16","7","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","19","8","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","20","9","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","21","10","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","22","11","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","23","12","3099","15"
"Clear Creek","Mon, 2011-01-24 13:49","27","13","3099","15"
"SE Belmont","Thu, 2011-04-14 09:57","15","","3124","1"
"SE Belmont","Thu, 2011-04-14 09:57","16","1","3124","1"
"SE Belmont","Thu, 2011-04-14 09:57","21","2","3124","1"
"SE Belmont","Tue, 2011-04-05 21:59","3","","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","4","1","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","9","2","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","10","3","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","11","4","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","17","5","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","18","6","3136","1"
"SE Belmont","Tue, 2011-04-05 21:59","23","7","3136","1"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","18","","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","24","1","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","29","2","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","34","3","3212","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","3","","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","4","1","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","8","2","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","9","3","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","10","4","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","13","5","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","18","6","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","19","7","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","20","8","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","24","9","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","26","10","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","27","11","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","28","12","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","33","13","3213","4"
"Oregon 4-H Center","Thu, 2011-08-04 13:45","34","14","3213","4"
"Clear Creek","Tue, 2011-08-30 11:09","3","","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","4","1","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","8","2","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","9","3","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","10","4","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","11","5","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","13","6","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","14","7","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","16","8","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","19","9","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","20","10","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","21","11","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","22","12","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","26","13","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","27","14","3272","15"
"Clear Creek","Tue, 2011-08-30 11:09","33","15","3272","15"
"Clear Creek","Tue, 2011-09-20 12:15","3","","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","8","1","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","9","2","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","10","3","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","11","4","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","14","5","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","15","6","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","16","7","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","17","8","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","18","9","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","20","10","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","23","11","3307","4"
"Clear Creek","Tue, 2011-09-20 12:15","24","12","3307","4"
"Clear Creek","Tue, 2011-09-20 10:30","3","","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","8","1","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","9","2","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","13","3","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","14","4","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","15","5","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","16","6","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","19","7","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","20","8","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","22","9","3309","4"
"Clear Creek","Tue, 2011-09-20 10:30","23","10","3309","4"
"Clear Creek","Thu, 2011-11-03 17:30","3","","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","4","1","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","8","2","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","9","3","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","10","4","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","11","5","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","13","6","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","14","7","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","15","8","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","16","9","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","19","10","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","20","11","3649","4"
"Clear Creek","Thu, 2011-11-03 17:30","21","12","3649","4"
"Owyhee Reservoir, near Nyssa, Oregon","Tue, 2012-08-07 20:00","","","4324","78"
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","3","","4483","109"
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","8","1","4483","109"
"Enterprise Marr Pond Site","Wed, 2012-10-24 10:45","9","2","4483","109"
"Enterprise City Park","Wed, 2012-10-24 09:30","3","","4488","109"
"Enterprise City Park","Wed, 2012-10-24 09:30","4","1","4488","109"
"Enterprise City Park","Wed, 2012-10-24 09:30","8","2","4488","109"
"Enterprise City Park","Wed, 2012-10-24 09:30","9","3","4488","109"
"Enterprise City Park","Wed, 2012-10-24 09:30","10","4","4488","109"
"Enterprise City Park","Wed, 2012-10-24 09:30","11","5","4488","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","3","","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","4","1","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","8","2","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","10","3","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","11","4","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","13","5","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","15","6","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","16","7","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","17","8","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","18","9","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","20","10","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","21","11","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","22","12","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","23","13","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","24","14","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","26","15","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","27","16","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","28","17","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","29","18","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","34","19","4564","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","8","","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","9","1","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","13","2","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","14","3","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","15","4","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","17","5","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","18","6","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","19","7","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","20","8","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","21","9","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","22","10","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","24","11","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","26","12","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","27","13","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","28","14","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","29","15","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","33","16","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:00","34","17","4584","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","3","","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","4","1","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","8","2","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","9","3","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","10","4","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","11","5","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","13","6","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","14","7","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","15","8","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","16","9","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","17","10","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","18","11","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","19","12","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","20","13","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","21","14","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","22","15","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","23","16","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","24","17","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","27","18","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","28","19","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","29","20","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","33","21","4585","109"
"Wallowa River Tamkaliks Site","Tue, 2012-10-30 09:05","34","22","4585","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","4","","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","8","1","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","10","2","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","11","3","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","13","4","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","14","5","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","16","6","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","20","7","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","26","8","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:00","27","9","4587","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","3","","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","4","1","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","8","2","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","9","3","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","10","4","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","11","5","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","13","6","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","14","7","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","15","8","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","16","9","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","17","10","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","18","11","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","19","12","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","20","13","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","21","14","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","22","15","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","23","16","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","24","17","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","26","18","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","27","19","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","28","20","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","29","21","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","33","22","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:02","34","23","4588","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","8","","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","9","1","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","13","2","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","14","3","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","15","4","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","16","5","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","17","6","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","18","7","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","19","8","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","20","9","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","21","10","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","22","11","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","23","12","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","24","13","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","26","14","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","27","15","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","28","16","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","29","17","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","33","18","4589","109"
"Wallowa River Tamkaliks Site","Thu, 2012-11-01 10:04","34","19","4589","109"
"Bear Creek","Tue, 2012-10-30 10:50","4","","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","8","1","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","13","2","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","14","3","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","19","4","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","24","5","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","34","6","4595","109"
"Bear Creek","Tue, 2012-10-30 10:50","4","","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","8","1","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","9","2","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","10","3","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","11","4","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","13","5","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","14","6","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","15","7","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","16","8","4596","109"
"Bear Creek","Tue, 2012-10-30 10:50","17","9","4596","109"
