"nid","site","stream_length","riffle_count","pool_count","collected","silt","sand","gravel","cobble","boulders","bedrock","small_debris","medium_debris","large_debris","comments","coniferous_trees","deciduous_trees","shrubs","small_plants","ferns","grasses","uid"
"9606","Ochoco Creek","100","4","2","Mon, 2012-10-29 10:01","Very Little","Very Little","Some","A lot","Some","Very Little","A lot","Very Little","Some","","Very Little","A Lot","A Lot","A Lot","Very Little","A Lot","851"
"8711","Bald Hill Farm- Mulkey Creek","50","2","3","Wed, 2015-08-26 22:20","Some","Very Little","A lot","Some","Very Little","Some","Very Little","Very Little","Very Little","","Very Little","A Lot","A Lot","Some","A Lot","Very Little","656"
"8706","Bald Hill Farm- Mulkey Creek","50","2","2","Wed, 2015-08-26 22:00","Very Little","Very Little","A lot","Some","Very Little","Some","Some","Very Little","Very Little","","Very Little","A Lot","Some","Some","Some","Some","656"
"8676","Bald Hill Farm- Mulkey Creek","50","3","4","Wed, 2015-08-26 10:00","Some","Some","Some","Very Little","Very Little","Very Little","Some","Very Little","Very Little","","Very Little","A Lot","Very Little","Some","A Lot","Very Little","656"
"8441","Peavy Arboretum","25","","","Sun, 2012-06-10 10:11","Some","A lot","Very Little","Very Little","Very Little","","Very Little","","","","Very Little","A Lot","Some","A Lot","Very Little","A Lot","661"
"8406","Peavy Arboretum","45","1","3","Wed, 2015-06-10 09:25","A lot","Some","Some","Very Little","Some","A lot","Very Little","Some","A lot","","Very Little","Some","A Lot","Some","Very Little","A Lot","661"
"8401","Peavy Arboretum","20","","","Wed, 2015-06-10 09:26","Very Little","Very Little","Some","A lot","Very Little","Very Little","Some","Very Little","Very Little","10trees 
64*f 16*c","Some","Some","A Lot","A Lot","Some","A Lot","661"
"6679","Whalen Island","6","1","3","Fri, 2014-12-19 17:26","Very Little","A lot","Very Little","Some","Very Little","Some","Some","Some","Very Little","Pretty","A Lot","Some","Some","Some","Very Little","Some","683"
"6555","Enterprise City Park","100","4","5","Thu, 2014-10-23 09:50","Very Little","Some","Some","Very Little","A lot","Some","Very Little","Very Little","Very Little","","A Lot","Some","Some","A Lot","Very Little","A Lot","109"
"6226","Willamette river Corvallis or","50","3","1","Fri, 2014-08-22 12:10","Some","A lot","A lot","Very Little","Very Little","Very Little","Some","Very Little","Very Little","","Very Little","Some","Some","Some","Very Little","Some","661"
"5963","SHHS Biology Field Day","100","2","1","Wed, 2014-05-21 13:40","","","","","","","","","","","Some","A Lot","Some","A Lot","Some","Very Little","611"
"5960","SHHS Biology Field Day","100","2","1","Wed, 2014-05-21 08:27","","","","","","","","","","","A Lot","A Lot","A Lot","A Lot","Some","Very Little","611"
"5957","SHHS Biology Field Day","100","2","1","Wed, 2014-05-21 14:32","","","","","","","","","","","Some","A Lot","Some","A Lot","Some","Very Little","611"
"5954","SHHS Biology Field Day","100","2","1","Wed, 2014-05-21 09:34","","","","","","","","","","","Some","A Lot","A Lot","Some","Some","Very Little","611"
"5950","SHHS Biology Field Day","100","2","1","Wed, 2014-05-21 15:10","","","","","","","","","","","Some","Some","A Lot","A Lot","Some","Very Little","611"
"5947","SHHS Biology Field Day","100","2","1","Wed, 2014-05-21 10:20","","","","","","","","","","","Some","A Lot","Very Little","Some","A Lot","Very Little","611"
"5595","Beverly Beach","20","4","6","Fri, 2014-02-28 17:03","Very Little","Very Little","Very Little","Very Little","Some","A lot","A lot","Very Little","Very Little","test","Very Little","Very Little","Very Little","A Lot","A Lot","Some","239"
"5572","Oneonta Gorge","5","1","2","Thu, 2012-03-01 15:07","Very Little","Some","A lot","A lot","A lot","Very Little","Very Little","Very Little","A lot","test","Very Little","Some","A Lot","Some","Very Little","Some","239"
"5361","Dharma Rain Zen Center Brownfield Restoration","","","","Thu, 2013-10-10 12:30","Very Little","A lot","Some","A lot","Very Little","Very Little","A lot","Some","Very Little","No water flow, lots of dead blackberry debris, soil, and cobble stone, all is healthily moist.","Very Little","A Lot","Very Little","A Lot","Some","Some","429"
"5027","Enterprise Marr Pond Site","100","4","2","Tue, 2013-10-22 10:05","","","","","","","","","","","A Lot","A Lot","Very Little","A Lot","Very Little","A Lot","109"
"5024","Enterprise City Park","100","2","","Tue, 2013-10-22 08:50","","Very Little","Some","","Some","A lot","Very Little","Very Little","Very Little","","Some","A Lot","A Lot","Some","Some","A Lot","109"
"4443","Imnaha River","100","","1","Thu, 2012-10-11 13:00","A lot","Very Little","A lot","Some","Very Little","","","Very Little","","","","","","","","","109"
"3955","Bear Creek Riparian Restoration Project","50","3","1","Mon, 2012-03-05 13:15","Some","Some","Very Little","Very Little","Very Little","A lot","Some","Very Little","Very Little","","Very Little","A Lot","Some","A Lot","Some","A Lot","331"
"3751","Bear Creek Crater Land Lab","450","1","1","Fri, 2011-12-02 12:00","Some","Some","Some","Very Little","Very Little","Very Little","Some","Some","Some","Site of beaver dam - partially constructed","Some","Some","Some","Very Little","Very Little","Some","223"
"3749","Bear Creek Crater Land Lab","450","1","","Fri, 2011-12-02 12:00","Some","Very Little","Some","Some","Some","Very Little","Some","Very Little","Very Little","","Very Little","Some","Some","Very Little","Very Little","Very Little","223"
"3747","Bear Creek Crater Land Lab","450","1","","Fri, 2011-12-02 12:00","A lot","A lot","Some","Some","Some","Very Little","Very Little","Some","Very Little","","Very Little","Some","Some","Some","Very Little","Some","223"
"3745","Bear Creek Crater Land Lab","450","1","","Fri, 2011-12-02 12:00","Very Little","Very Little","Some","Some","Very Little","Very Little","Some","Very Little","Very Little","","Very Little","Some","Some","Some","Very Little","Very Little","223"
"3743","Bear Creek Crater Land Lab","450","1","","Fri, 2011-12-02 12:00","Some","Very Little","Some","Some","Very Little","Very Little","Some","Some","Very Little","","Very Little","Some","Some","Some","Very Little","Very Little","223"
"3741","Bear Creek Crater Land Lab","450","1","","Fri, 2011-12-02 12:00","Very Little","Very Little","Some","Some","Very Little","Very Little","Some","Some","","","Very Little","Some","Some","Very Little","Very Little","Very Little","223"
"3244","Simpson Park","","","","Tue, 2011-08-09 12:10","","","","","","","","","","","Very Little","A Lot","Some","A Lot","Some","Some","187"
"2817","Camp Creek","100","23","2","Thu, 2010-10-07 10:50","Very Little","","A lot","A lot","","","A lot","","A lot","","","A Lot","Very Little","Very Little","","A Lot","109"
"2792","Imnaha River","100","2","1","Thu, 2010-10-07 10:00","A lot","","A lot","A lot","","","Very Little","","","","","A Lot","Very Little","A Lot","","Some","109"
"2692","Wenaha River","100","1","","Tue, 2010-10-05 11:20","A lot","Very Little","A lot","A lot","Some","","Very Little","","","very little woody debris of any size","Very Little","A Lot","A Lot","Some","","A Lot","109"
"2689","Grande Ronde River","100","1","1","Tue, 2010-10-05 09:35","Very Little","Some","A lot","A lot","Some","Very Little","","","","didn't see any woody debris in the river","A Lot","A Lot","A Lot","A Lot","A Lot","A Lot","109"
"2487","SE Belmont","88","2","3","Fri, 2010-09-17 11:22","Some","","","","","","Very Little","","Some","these are notes","Very Little","A Lot","A Lot","Some","Some","Very Little","1"
"2483","SE Belmont","111","3","7","Wed, 2010-09-15 11:33","","Some","","Some","Some","Some","Some","Some","Some","","Very Little","Very Little","Very Little","Very Little","Very Little","Very Little","1"
"2482","SE Belmont","110","11","2","Wed, 2010-09-01 15:22","Very Little","Very Little","Some","Some","Some","Some","Some","Very Little","Very Little","water is very clear","Some","A Lot","Some","Some","Very Little","Some","14"
"2480","Lotus Isle Cove","10","6","6","Wed, 2010-09-15 17:00","A lot","A lot","Very Little","Very Little","Some","Very Little","Very Little","Very Little","Very Little","Half the bank is basalt rock fill. Other areas are all sand.","Very Little","Some","A Lot","A Lot","Very Little","Very Little","1"
"2479","SE Belmont","100","12","9","Thu, 2010-09-23 11:44","A lot","Very Little","A lot","A lot","A lot","Very Little","Some","Some","Some","","Some","A Lot","Some","A Lot","Some","A Lot","14"
"2477","SE Belmont","120","11","4","Sat, 2010-08-28 (All day)","Some","Some","Some","Some","Some","Some","Some","Some","Some","not much current here.","Some","Very Little","Some","Some","Some","Some","1"
