"Nid","Collected","Stream/Site name","Estimated Slope (rise/run) of streambank","Field Notes","Uid"
"4960","Fri, 2013-04-05 09:00","Bear Creek at Coyote Trails Nature Center","3","Transect A started at the top of the nature trail to the creek heads towards the creek at 20 foot intervals. Start coincides with Photo Point A: UTM (Nad 83) 513104 E x 4682942 N.  THis transect went all the way to the high water mark at Bear Creek.  Needed more zones! Data collected by Tallent Middle School Students. COMA2 = Poison Hemlock (Conium maculatum).","288"
"5056","Wed, 2013-10-09 11:30","Joseph Prairie Creek","","","109"
"5061","Wed, 2013-10-09 10:39","Joseph City Park","","","109"
"5321","Tue, 2013-11-05 13:00","Wallowa River Tamkaliks Site","","","109"
"5324","Thu, 2013-11-07 13:00","Wallowa River Tamkaliks Site","","","109"
"5326","Tue, 2013-11-05 13:00","Bear Creek","","","109"
"5328","Wed, 2013-11-06 14:01","Bear Creek","","","109"
"5473","Mon, 2014-01-27 12:58","Camco, Inc. Restoration Project","60.6","going straight up the trail.  started at 29' from water because of thick blackberry at 20'","611"
"5474","Mon, 2014-01-27 13:58","Camco, Inc. Restoration Project","39.7","blackberry to thick to do a full transect","611"
"5574","Tue, 2011-03-08 21:11","Outer Space","3","test","239"
"5596","Sat, 2014-02-15 16:05","Beverly Beach","50","test test","239"
"5609","Wed, 2014-03-12 12:09","Hamilton Creek - LHS & Santiam Watershed Council","2","GROUP 1","611"
"5615","Wed, 2014-03-12 13:40","Hamilton Creek - LHS & Santiam Watershed Council","2","GROUP 2","611"
"5626","Wed, 2014-03-12 09:30","Hamilton Creek - LHS & Santiam Watershed Council","2","GROUP 4","611"
"5632","Wed, 2014-03-12 10:37","Hamilton Creek - LHS & Santiam Watershed Council","2","GROUP 5","611"
"6046","Thu, 2014-05-29 23:17","No Name Creek at Eddyville Charter School","","<p>At our spot there wasn&#39;t&nbsp;allot of hardwoods but, there was allot of shrubs, plants, ferns horsetails. we think that tomorrow&nbsp;at a different&nbsp;spot there will be allot more hardwoods, and more shrubs then today.</p>","420"
"6098","Sun, 2014-05-04 11:30","No Name Creek at Eddyville Charter School","20","<p>This was our first spot. It&#39;s where our creek meets the little elk.</p>","420"
"6100","Wed, 2014-06-11 11:50","No Name Creek at Eddyville Charter School","20","<p>6 hard wood 35 nettle 36 clover 8 briar 46 shrubs 7 ferns</p>","420"
"6101","Mon, 2014-05-05 11:30","No Name Creek at Eddyville Charter School","20","<p>This was our second spot which is the second spot &nbsp;next to our first spot.</p>","420"
"6207","Wed, 2014-08-13 13:35","Hesthavn Nature Center","","","656"
"6208","Wed, 2014-08-13 13:30","Hesthavn Nature Center","","","656"
"6209","Wed, 2014-08-13 13:30","Hesthavn Nature Center","","","656"
"6507","Fri, 2014-11-21 (All day)","Periwinkle Creek","","","673"
"6508","Fri, 2014-11-21 00:17","Periwinkle Creek","","","673"
"6509","Fri, 2014-11-21 11:36","Periwinkle Creek","","<p>Na</p>

<p>&nbsp;</p>

<p>&nbsp;</p>","673"
"6511","Fri, 2014-11-21 10:00","Periwinkle Creek","","","673"
"6522","Fri, 2014-11-21 11:36","Cox Creek","","","673"
"6523","Thu, 2014-11-20 10:34","Cox Creek","","","673"
"6524","Tue, 2014-12-02 (All day)","Cox Creek","","","673"
"6682","Fri, 2014-12-19 17:44","Reed Canyon","79","<p>test test test&nbsp;</p>","683"
"7246","Mon, 2015-03-09 13:07","Hamilton Creek - LHS & Santiam Watershed Council","1.17","<p>Group 1:&nbsp; Lyn Leckie, Jaylene Johnson, AJ Wittrig, Tyler Hoerauf, Oracio Lopez, Cale Thompson</p>","611"
"7276","Mon, 2015-03-09 14:00","Hamilton Creek - LHS & Santiam Watershed Council","1.17","<p>Group 2:&nbsp; Kayla Yarbrough, Ashley Visconti, Cassi Lien, Eva Barrett, Ryan Restay, Veronica Jorgensen</p>","611"
"7311","Mon, 2015-03-09 12:08","Hamilton Creek - LHS & Santiam Watershed Council","1.17","<p>Group 3:&nbsp; Zoey Brown, Zach Henderson, Vanessa Johnson, Juliet Gordanier, Steven Mendoza, Jessica Valdivia-Garibay</p>","611"
"7336","Mon, 2015-03-09 12:40","Hamilton Creek - LHS & Santiam Watershed Council","1.17","<p>Group 4:&nbsp; Jorjia Cole, Amber Lowe, Tiffany Evans, Justus Humble, Anna Wright</p>","611"
"11261","Wed, 2016-02-24 10:11","Hamilton Creek - LHS & Santiam Watershed Council","60","<p>transect done on a slope</p>","611"
"11266","Wed, 2016-02-24 10:50","Hamilton Creek - LHS & Santiam Watershed Council","66","<p>transect on a slope</p>","611"
"11271","Wed, 2016-02-24 08:20","Hamilton Creek - LHS & Santiam Watershed Council","60","<p>Transect on a slope</p>","611"
"11276","Wed, 2016-02-24 09:20","Hamilton Creek - LHS & Santiam Watershed Council","60","<p>Transect on a slope</p>","611"
"12046","Thu, 2016-04-28 08:54","West Olalla Creek",".02","","1076"
"12066","Tue, 2016-05-03 08:45","West Olalla Creek",".0475","","1076"
"36311","Tue, 2016-09-27 10:04","Imnaha River","","","109"
"36321","Tue, 2016-09-27 12:40","Camp Creek","","","109"
"36561","Wed, 2016-10-05 09:09","Wallowa River Tamkaliks Site","","","109"
"36581","Tue, 2016-10-04 08:37","Wallowa River Tamkaliks Site","","","109"
"36766","Wed, 2016-10-05 10:06","Bear Creek","","","109"
"36796","Tue, 2016-10-04 09:48","Bear Creek","","","109"
"37126","Thu, 2016-10-13 13:00","Enterprise City Park","","","109"
"37146","Thu, 2016-10-13 14:40","Enterprise Marr Pond Site","","","109"
"37506","Wed, 2016-10-19 09:07","Joseph City Park","","","109"
"37531","Wed, 2016-10-19 10:00","Joseph Prairie Creek","","","109"
"38066","Wed, 2016-10-26 09:57","Lostine River Wolfe Ranch","","","109"
"38236","Wed, 2016-10-26 10:44","Wallowa River Wolfe Ranch","","","109"
"40141","Wed, 2017-03-01 12:30","LHS River Restoration Association; Had Irvine Park","","<p>Photo Point #1</p>","611"
"40151","Wed, 2017-03-01 13:37","LHS River Restoration Association; Had Irvine Park","","","611"
"40161","Wed, 2017-03-01 13:15","LHS River Restoration Association; Had Irvine Park","","<p>Photo Point #3</p>

<p>Most of this Riparian Zone is in private property</p>","611"
"40171","Wed, 2017-03-01 13:45","LHS River Restoration Association; Had Irvine Park","","<p>Photo Point #4</p>

<p>Most of this section was on Private Property</p>","611"
"40181","Wed, 2017-03-01 13:00","LHS River Restoration Association; Had Irvine Park","","<p>Photo Point #5</p>","611"
"40436","Thu, 2017-04-20 12:30","South Santiam - water treatment exit","","<p>group 4.1</p>","606"
"40441","Thu, 2017-04-20 12:32","South Santiam - water treatment exit","","<p>Group 3.1</p>","606"
"40446","Thu, 2017-04-20 12:35","South Santiam - water treatment exit","","<p>Group 2.1</p>","606"
"40451","Thu, 2017-04-20 12:36","South Santiam - water treatment exit","","<p>Group 3.2</p>","606"
"40481","Thu, 2017-04-20 13:25","South Santiam - water treatment exit","2","","606"
"40486","Thu, 2017-04-20 13:25","South Santiam - water treatment exit","2","","606"
"40491","Thu, 2017-04-20 13:25","South Santiam - water treatment exit","2","","606"
"40516","Tue, 2017-04-25 (All day)","South Santiam - water treatment exit","n/a","","606"
"40521","Thu, 2017-04-20 13:20","South Santiam - water treatment exit","","<p>Period 6 Group 2</p>","606"
"40531","Tue, 2017-04-25 (All day)","South Santiam - water treatment exit","n/a","<p>Period 6</p>

<p>Group 1</p>","606"
"40576","Thu, 2017-04-20 (All day)","South Santiam - water treatment exit","","<p>period 7 group 1&nbsp;</p>","606"
"40586","Thu, 2017-04-20 14:20","South Santiam - water treatment exit","0.07","<p>Period 7 G3</p>","606"
"40611","Thu, 2017-04-20 14:00","South Santiam - water treatment exit","","","606"
"40616","Thu, 2017-04-20 14:00","South Santiam - water treatment exit","","","606"
"40621","Thu, 2017-04-20 14:00","South Santiam - water treatment exit","","<p>group 3 period 7</p>","606"
"40626","Thu, 2017-04-20 14:00","South Santiam - water treatment exit","","<p>group 3 period 7</p>","606"
