"Title","Journal Entry Field","Post date","Nid","Uid","Stream/Site name"
"wallowa  river","
	weather: cold and wet

	what we saw : rocks, the river, and trees

	we did many test like we did on the last river (Bear Cree) and  we did the temperature and pH test  and we tested DO to see how much oxygen is in the water for the fish","2010-10-25 14:25","2904","109","Wallowa River Tamkaliks Site"
"Salmon Watch at Cedar Creek- Fall 2010","
	 

	Our Salmon Watch trip brought us out to Cedar Creek, off the Wilson River, near the Tillamook Forest Center. Throughout the day, we cycled through four stations exploring various aspects of stream ecology. The most impressive activity was the viewing of salmon returning to their home stream for spawning. This station was led by a ODFW Fish Biologist, Dave Plawman, who taught us details of the salmon cycle, with a focus on the spawning stage. He also had frozen salmon for us to look closely at. A total of 7 mature salmon were spotted by us, all of which were Fall Chinook to our surprise.  We expected to see Coho Salmon. 

	At the “Riparian Study” station, we took hikes through the forest surrounding the creek. We collected interesting natural objects to discuss.  Near a natural “swale” (season pond), we looked at tree canopy cover with a “spherical densitometer” that rated the percentage of tree cover. This is extremely important for a Salmon stream due to the need for cold, shaded water.  We then performed a partial ‘riparian transect’, in which we analyzed the plant growth, including percentage of shrubs and trees. 

	At the “Water Quality” station we started by measuring the temperature of the stream water and air.  Then dissolved oxygen (DO) was measured.  The DO rating varied from 9 ppm to 10 ppm, which indicates great Salmon water.  The pH testing also fell within the healthy range with an average of 7.18.  We measured the water ‘Turbidity’ (water clarity) with a turbidity tube. The rating of 3 also shows the overall healthiness of Cedar Creek.  We do wish that we could have used the high tech “Vernier” testing equipment more at this station. 

	The “Macroinvertebrate” station used “kick netting” which is a different method from the “Leaf Pack” experiments we are use to. We found a predominance of Stonefly and Mayfly, with a healthy overall EPT percentage 88.99%. This is pretty consistent with what we have found with our Leaf Pack program. 

	An unique part of our Salmon Watch program was that most of station instruction was provided by high school students from Centennial Learning Center. Their teacher, Tyler Duvall, had prepared them well for the task and they did a great job.  

	Our Salmon Watch data can be viewed at the StreamWebs web site at:    http://streamwebs.org/locations/cedar-creek  We really had a wonderful day, filled with amazing applied experience and learning. ","2010-11-14 13:59","3020","57","Cedar Creek"
"Mussel count / Site notes","
	Mussel count for the Bill Curtis site : transect 1 was downstream and transect 10 was upstream. Trans 1: 99 mussels / trans 2: 70 mussels / trans 3: 5 mussels / trans 4: 14 mussels / trans 5: 19 mussels / trans 6: 3 mussels / trans 7: 15 mussels / trans 8: 0 mussels / trans 9: 11 mussels / trans 10: 10 mussels

	 

	Site notes:

	The Bill Curtis site team noticed that the farther upstream we went the more filter feeding plants we saw. As well as more dead, broken, or fragile looking mussel. Small snails were spotted everywhere along the site in and out of the water, along the banks and under leaves. Under the overhanging brush near transect 5 where the water moved slower, we noticed a small grouping of what looked like mayflys, 8 or so. More or bigger rocks with less silt seemed to mean less mussels. Downstream had a much larger variety of size's when looking at the mussels. slow moving riffles is where the mussels liked to be.","2010-11-16 18:54","3040","118","CWA Johnson Creek --- 307th/Orient"
"My Environmental Science Experience - Mallory Moon","
	","2011-05-16 09:47","3153","69","CWA Johnson Creek Tolford Rd"
"SW Calendar Screencast 2011","","2011-07-25 10:44","3197","4","Clear Creek"
"RYAN MEADOW BLOG","
	 

	Check out our project blog here!

	","2011-08-25 09:46","3268","113","Ryan Meadow Student Stewardship Projects"
"Invasive Species Disaster","
	     It was our first day on the job, removing ivy, holly, stinky bob's, and more, when we saw it. The biggest ivy vine we'd ever seen was strapped to a tree, clinging for dear life! It was as thick as boa constrictor and as strong as one too. No matter what we did it wouldn't even budge!  Mallory grabbed onto a smaller piece of it and started to pull. It wasn't giving, so she put both feet on the tree and used all of her weight to try and bring it down. For a while she sat there, laughing at it's strength. Then, suddenly, it gives. In shock, Mallory let go of the vine and went tumbling down! She landed on her hand but it was hurt too bad. To this day that ivy vine still stands there, bringing insult to injury. Next weeks plan of attack, handsaws.

	                                                                                            Maddy, Invasive Species Removal.","2011-11-04 10:40","3651","257","Tenino Court Site"
"photopoint monitoring confusion","
	  It's our teams first time out so its a little hard to figer every than out. Then we have to find where the photopoints are even going to be! ofcourse we did start befor the Invasive Species removel.after that it was preitty strait forward from than on.","2011-11-08 09:12","3653","126","Tenino Court Site"
"Wild Life and Plant specialist team","
	The first time our group, wild-life and plant specialists, was out at the Tenino Court Site we built a bridge over the little stream. We used only the things that were out at the site, including fallen logs, branches, leaves, and even some of the English Ivy, that the invasive species team took out. 

	This last time, November 9, we went to look for and identify different plants and animal tracks. We found Crane's-Bill Moss, which is a pretty common moss that grows throughout Oregon. As well as Sword Ferns, which we learned grow in bunches, Nodding Tristetum, a type of grass, and a Scourning Rush, which belongs to the Horsetail family. There were also two trees we identified; a Big Leaf Maple and a Western Redcedar. The only tracks we found were deer tracks and there were very few of them.  Overall, it was interesting day.","2011-11-09 14:16","3654","230","Tenino Court Site"
"Photo Point Monotoring Data is now added! (Pics to come)","
	The PPM team has got all the correct GPS coordinates and everything so the different Photo and Camera Points are now added. The pictures are sorted out and I am working on uploading them (the site is really slow with uploading I just figured out). Anyhow, you will be able to view the field site progress via streamwebs just as soon as I get all the pictures uploaded :)

	Oh, and luckily the creek wasn't flooded with water since one of our photo points requires us to get in the creek; but even when it does have water I'm sure Halle will be extatic to jump in and place the meter board ;) -inside joke-.","2011-11-09 19:44","3671","266","Tenino Court Site"
"Holly & Ivy, My Worst Enemies!!! - Invasive Species Removal","
	Once upon a time there were two friends, Holly and Ivy. Holly grew from the ground to be as tall as a small tree looming over the plants under her. Meanwhile Ivy climbed up trees to the very tippty-top. They both liked the Tenino Court site so much they told their families. After their families came they started to over take the land! And although they did not mean to they started to over populate the native plants to the area causing them to die off or move away! Together these friends took over the Tenino Court site and demolished the native plants that once lived there!!!

	    This is why on 11/9/11 us students at CWA (Clackamas Web Academy) ripped out as much English Ivy and English Holly we could! We pulled a lot out, now we have a BIG pile of all the Ivy and Holly to decompose! These two friends from England brought with them the ability to demolish our native plants! To save our environment we must team up and fight against these evil forces to save our native plants! We (CWA) will continue to fight England's evil plants!","2011-11-10 09:57","3674","120","Tenino Court Site"
"CWA Invasive Species Removal Team","
	     The CWA Invasive Species Removal Team have worked really hard to clear out as much of the invasive English Holly and English Ivy at the Tenino Court Site as we can. Although we have struggled to rip down the massive English Ivy vines and dig up the enormous English Holly roots you can definitely see a decline in the amount of the invasive species still living. Us students are working quickly and efficiently in the removal process. We (CWA students) have made a huge pile of the English Holly and English Ivy that we have already removed. Leaving the vines and Holly branches to decompose naturally and letting them leave there nutrients in the same location as they were. If we were to remove the plants all together then we would be taking nutrients needed for native plants to survive.","2011-11-10 16:08","3682","129","Tenino Court Site"
"A Day in the Invasive Species Removal Team","
	     If you think picking weed in your back yard is hard, try picking weeds in the Tenino Court site! The ivy can be thick as pythons and as abundant as bugs. The holly can be as tall as trees! The pile really builds up after hours of hard work, and soon it's taller then me!(which I know isn't saying much.) The boys were soon becoming restless needed to do something stupid. So they jumped into the pile with a CRUNCH!  The pile was never the same after that. Instead of being a thing of greatness it became a depressing pile of dead plants. Now we know never to leave a perfectly good pile of dead plants lying around when boys become bored

	                                                                                 NO OFFENSE BOYS!

	                                                                                          MaddyRose","2011-11-12 16:10","3688","257","Tenino Court Site"
"Soil Chemistry Team First Week Testing","
	 October 26th, 2011 around 10:30am.

	     Today is our first day being out to the site to test soil chemistry. My group and I obtained our first sample near the northwestern border of our site. This location was near a large vine maple tree and a skinny sword fern. We first tested the amount of phosphorus this soil contained. However, during this test we made a mistake and used the wrong reading chart; therefore yielding inaccurate results. After this test, my team and I acquired a different sample of soil. I'm not sure why our team procured another sample; I concluded that we were all very confused and disorganized with the new equipment. Nevertheless, we tested the new sample for its pH level. This sample was taken from the left shore of the small creek that trickles through our site. Yet again, our team made a crucial mistake in our testing. We misread the instructions and used the incorrect test tube for the pH test, once more resulting in a false outcome. We attempted to test pH again on this soil sample, but our team remained unfocused and only received an erroneous product. Having no success in our soil testing today was very frustrating. However, my team now has more experience with the testing equipment than we did before. I'm very sure our group will have success on our next visit.

	 ","2011-11-17 15:56","3710","283","Tenino Court Site"
"Soil Chemistry Team Second Week Testing","
	 November 9th around 10:30am

	     Today is our second day being out to the site to test soil chemistry. The last time our team came out to the field our only results were inaccurate. Today, the outcomes changed. We began by taking a new sample from the same location as our first test. That is, the sloping area near the northwestern border of our site. We first re-tested this soil for the phosphorus level. Our results were that the soil from that location was low on phosphorus. The second test we ran was for pH levels. The outcome was that the soil was very acidic; the pH level was 7.5. Our third test, however, may have turned incorrect. We ran the nitrogen test and came out with lower than low nitrogen levels. The final test we ran today was for potassium levels. We concluded with medium to low levels. Unfortunately, we ran out of time after our fourth test. I hope we will research how to raise phosphorus and nitrogen levels, and also how to lower pH levels.","2011-11-17 16:00","3711","283","Tenino Court Site"
"First week on the Job","
	     October 12, we arrive on the Tenino Court Site seeing that there is a lot of work to be done. We start with our fun dance mania name game to lighten the mood and get us ready for the job ahead of us. As we first break out into groups of four to five we start to look and explore our new site that we will be working on for the coming months. We found many different signs of animal wildlife including the smallest of ants and spiders to the squirrel and deer. The site has some ivy that we will be removing in the coming weeks but now we are just here to explore. Can't wait for all of us to come together with our shovels and clippers and get to work with cleaning up the Tenino Court Site!!!","2011-11-18 13:10","3712","244","Tenino Court Site"
"Interesting Finds.","
	November 30th, 2011.

	Today was, to some, the best day we've had in the field ever!! For starters the invasive species team found not one, but two salamanders. The sad part is that one of the salamanders lost its tail trying to help out with the pulling of the ivy. Another thing they found was an abondon bird's nest, which is in almost perfect condition.

	So while the Invasive species was finding all this, I was helping the Special Ops team of the week, the media team. We were presented with the task of building a lean-to, which was kind of fun building once we all knew what we were doing. Though the lean-to is still just a frame, the next special ops team will begin filling in the holes, we believe it to be a work of art and good enough for any survivalist. Overall I believe it to be a great day!","2011-11-30 14:40","3735","230","Tenino Court Site"
"Our Day @ the Creek!!!","
	Hi, My name is Makenna Cunningham and I am in the group Mapping For Environmental Literacy.

	Today while on the creek my group and I measured out a 1002 area which we will be mapping to create a map of our whole site! Each week we will try to work on getting each section mapped out! I know its alot of work but I think we can get it done!!!!

	 ","2011-12-01 12:05","3737","125","Tenino Court Site"
"Trip 3's Accomplishments!","
	Trip 3: 11/30/2011

	                                                             By, Mallory Moore

	 

	Me and My Teams (Invasive Species) Findings:

	-Three Salamanders (or Newts not yet identified)

	-A Bird's Nest

	-And a HUGE spider! (not identified)

	What Me and My Team (Invasive Species) Did:

	We pulled an unrealistic amount of English Ivy and English Holly! We also made stairs out of dirt, so we could get up the steep hill easier! We also had a blast while doing it!

	Accomplishments of the Day:

	-Communications team made a ""Lean-To""

	-Finally put up a ""Hot Station""

	 ","2011-12-02 13:32","3739","120","Tenino Court Site"
"Creek","
	 I am in the soil chemistry group. We tested the PH, Phosphorus, and Potassium.","2011-12-03 20:05","3754","259","Tenino Court Site"
"Girls Vs. Wild","
	On November 30 the communications team (the Special Ops team of the week) built a lean-to. The three girls from this team, a member of the plant and wildlife team, and a young sibling of a member of the invasive species removal team all worked very hard.  As the communications team, they were also responsible for taking pictures of  their work, which is where one of the helpers came in. The group first searched for a good spot for their lean-to, then gathered logs and sticks to build the structure. after many logs where put up one of the members got on top of the structure and tied English Ivy to the tops of the logs and then to the beam that they where leaning against, to ensure maximum security. After two hours of hard work and freezing hands they got a good, sturdy, and big structure.","2011-12-06 16:35","3755","237","Tenino Court Site"
"Photo Point monitoring","
	I would just like to say that my group is amazing and we work together really well ! also I think we did a pretty good job today on our cage for leaves","2011-12-07 22:59","3761","240","Tenino Court Site"
"Week 4!!!","
	Hey it's Mallory again!!!

	This is my week 4 entry! We found another salamander and around 10 concrete blocks! We made excellent progress by clearing all the ivy all the way to the propriety line!!! We have learned about 3 different invasive species, English Ivy, English Holly, and Japanese Knot Weed. Along with learning about these invasive species also helped us learn about native species!!!

	Till next Field Trip!

	                     ~Mallory :)","2011-12-08 13:52","3762","120","Tenino Court Site"
"At the creek","
	At our last field day the soil chemistry team was chosen as the special ops team. Our special assignment was to build a wreath. We made two, one out of holly and one out of pine needles we found on the ground.","2011-12-09 16:22","3765","259","Tenino Court Site"
"Credentials & Progress","
	Hopefully by the time we return from winter break, the class will have credential Badges with a photo, name, and other info with a CWA lanyard. I will be using the google group for our class if I need anything to finish that. 

	The hot station is finally running smoothly =]

	 

	&& Everyone is working hard and making great progress!

	 

	MizzBell","2011-12-14 13:09","3766","295","Tenino Court Site"
"Our Discovery","
	     On December 7, in the Invasive species removal team we made a discovery underneath a ton of English Ivy. You might ask if it was gold, well no, it was several giant concrete slabs. You might also ask what did we do with them, well we created a patio for the group to put our stuff on. Well with the help of my few trusted Invasive species removal teammates we got the job done. Now we have a nice, hard as a rock, concrete patio for the group to enjoy, and I have to say we did a very good job.","2011-12-14 15:45","3767","244","Tenino Court Site"
"Switching Sides","
	 Hi, My name is Makenna Cunningham,

	 I have recently been switched from the Mapping group to the Invasive Species Removal Group! The Mapping group kind of dicinegrated into nothing.  Now I am a part of the Invasive Species Removal Group.  Currently we are pulling up English Ivy!

	Here is a Haiku that I wrote about pulling Ivy!!!!

	Pull Hard Pulling Hard                                                                                                                                                        I pull I tug to destroy                                                                                                                                                          Ivy is now gone","2011-12-15 10:33","3768","125","Tenino Court Site"
"special ops","
	Last field day my team and I we were assined to the special ops team and we made or tryed to make a reath. We tryed and tryed to make a struckture but we just could not get it. finaly we just tyed each of them together and put stuff into them like leaves pine cones and holly.","2011-12-28 16:22","3771","258","Tenino Court Site"
"Broken equipment","
	We got to Tenino court and we played a game and we got started testing the soil after the the first two tests we did were good. The next time I did was not good, I took the tube and twisted it two hard and it cracked it down the side we fixed it with a bit of purple duct tape. We finished the day but just barly.","2012-01-02 15:15","3773","258","Tenino Court Site"
"A Muddy Mess of a War","

	     This week we moved the army to the wetlands higher up the creek. It was cold and wet, and SOMEONE forgot the gloves so we were fighting the ivy bare handed. The harder we fought the more the ivy refused to let go! In the end we suffered no casualties while the ivy's army was no more. With this new land captured, we intend to send reinforcements of sage, dogwood trees, and other natural plants to hold down the fort.

	                                                                                                                        Maddy","2012-01-04 15:06","3775","257","Tenino Court Site"
"Week 6!!!","
	Hey-o! Mallory here! Update on our progress at Tenino Court!

	ACCOMPLISHMENTS OF INVASIVE SPECIES TEAM:

	We have finally have tackled the bank of the stream bringing down all the Ivy in site! We now can plant more native species around the stream to help save the environment! We've been ripping out Ivy and destroying things but we finally get to give nature back some of its beautiful plants! :) ","2012-01-05 14:52","3779","120","Tenino Court Site"
"First day of a proper job","
	This week was the first day I was actually doing anything of value for a good chunk of the time (as I have been moved to the Wildlife team). We spent a good part of the day following some tracks--opossum, raccoon, and what could have been coyote, but could also have been a dog (sadly, I'm inclined to choose the latter).

	After we followed the tracks a ways, we decided to go off and identify some trees, plants, and shrubs with mixed success; the only plants we came across--that didn't fall under the other two categories--were sword ferns, and a tiny  little ground-hugging plant I can't for the LIFE of me identify.

	The only shrubs we found were holly.

	There seem to be a lot of maple and alder trees, from what I can tell, what with them having no leaves.

	Until now, I hadn't seen that far into the site, so it was interesting to explore the more closed woody part, and also where the creek actually looked as though it could support life. It will be really great to get that whole area cleared up and planted with native... plants.

	 

	~Completely irrelevant sidenote/personal tidbit of the week~

	I hugged baby trees! Seeing baby trees seemingly alive and well made me happy.","2012-01-05 15:38","3780","248","Tenino Court Site"
"the end is near.","
	On are last field day I was told the end of the is near. I felt sad we have so much to do with that English ivy. ","2012-01-11 07:56","3784","126","Tenino Court Site"
"Field Journal","
	Hi, my name is Toby Broadie. I'm in this group called ""water quality"" and we take information from the creek in  Tenino Court and put it on this website. We take information such as temperture, ph levels, turbidity, dissolved oxygen and stream flow. So far I have enjoyed this experience and hope my group and whoever else does too.","2012-01-11 20:45","3785","273","Tenino Court Site"
"Spec Ops","
	     Every other week when CWA is down at the site one group is chosen to do the ""special operation"" of the day. When my group was chosen to do the ""special operation"" I was excited. Our assignment was to build some sort of sclupture out of any thing we could find. It sounded easy but we spent a good 30 mins trying to figure out what to do. We ended up building a giant CWA ""Clackamas Web Academy"" sculpture. It was built out of branches and vines. Overall I wasn't too impressed but it was pretty cool.","2012-01-11 20:55","3786","273","Tenino Court Site"
"First day in the field.","
	      Our very first day out in the field (11/9) was a very busy day for my group (wild life and plant specialists). On this day we got the privilege to be the special ops team and our job was to build a bridge using only the ""dead"" objects that we could find. First we briefly planned out what we're going to do and then we got to work. Considering the fact that our group consists of 3 girls, the process was a little difficult and slow at first. Most of the time, it would take all 3 of us to carry a big log, fortunately there were some gentleman that helped us a few times. The stream that the bridge had to go over was considerably small but we had to build it with the fact in mind that soon it's going to start raining more and the stream will get bigger. 
	     At the end of the day, we were successful at building the bridge that consisted of big logs that served as the foundation and small sticks and some rocks that filled in the holes. We also covered the bridge with moss and some dirt so that some of the small sticks would stay in place. After that, we rapped the bridge with English Ivy (thank you invasive species team for donating) and being girls, we managed to decorate the bridge by building somewhat of railings using the ivy. Unfortunately, the next time we were in the field, the railings were no longer in their original place. Over all it was a very active and therefore awesome day!","2012-01-12 12:28","3788","232","Tenino Court Site"
"It actually looked wild today.","
	This week's trip was rather pointless. We trudged about in the dull, dirty remains of inclement weather and made tiny snowpeople with them.

	The creek was insane in comparison to itself when we first went out to the site.

	I did enjoy our mini photoshoot, however. It was fun hearing and carrying out different ideas.","2012-01-18 13:25","3807","248","Tenino Court Site"
"CWA students","
	1/18/12

	     This Wednesday the CWA River Science and Environmental Science students worked really hard to complete there tasks in the freezing temperatures. Everyone dressed warm and was managed to keep themselves at least slightly warm. The Invasive species removal team was able to dominate a new area of English Ivy. Removing all if the ivy off another hillside. Everything is starting to look allot cleaner since the Ivy has been pulled. Even though we had to get through the bad weather, risen stream, snow patched, and sprinkles of rain, the CWA students seemed to enjoy themselves when it came time to build miniature snowmen. Every team was able to create their own 'new' member of the group. Once again everyone seemed to have a great time.

	-Meagan Smith (Invasive Species Removal)","2012-01-21 23:27","3813","129","Tenino Court Site"
"2-18","
	     This was the last field day of this semester but it was by far the best day. It was much more ""wild"" than it usually is. This was the cause of the rainy and freezing weather which even brought some snow! A lot of people were absent that day, including one of our team mates. This was unfortunate because it was the last and the only day that we could take our group picture. However the ""photoshoot"" was very fun and we were successful at photoshopping her into the picture. 

	     Our field was a lot different from what it is usually like. The biggest difference (at least to me) was the noise of the stream which wasn't present before, it was due to the high level of water in it. There was even an extra stream created from all the water. 

	     There was another thing different this day, the Special Ops assignment had to be done by everybody at the end of class. Our job was to make a new member of our team out of snow. It had to include details that would indicate which group it is in. Our snowman was considerably small to the usual size but we also made a turtle and a deer that surrounded it. We clothed our little friend with moss and leaves. After that we named him some male name, (which I unfortunatelly don't remember) because we needed a male member in our team to help us with some things we weren't able to do ourselves. 

	     At the end of the day, our snowman was voted the best and with numb hands and feet we headed to the max.","2012-01-23 21:50","3815","232","Tenino Court Site"
"Tenino Court","
	    Last Wednesday my class went to the Tenino Court site to remove English Ivy and prepare for planting new trees.

	We began by heading through the snow toward the area marked for clearing. once we were to the hill we started to pull the ivy out. we worked for about an hour  and when we were finished the hill was cleared. I think that what we are doing is very good for the environment and I wish that more people were willing to try to make a difference.","2012-01-24 16:17","3818","297","Tenino Court Site"
"field journal","
	 A few wednesdays ago we were removing English Ivy at the Tenino court site when we found that underneath the ivy littering the ground was a stash of cinderbricks. We decided that to help make the Tenino Court site a better place we needed to also clean up this stash of cinderbricks so a quarter of our group began removing the cinder bricks while the other half kept removing the ivy.

	      We now have a small patio area near our meeting place where we make hot chocolate.","2012-01-24 16:43","3819","297","Tenino Court Site"
"12/7/10","
	Today in my photo point group we made this leave thing we made as a circle and put alot of leves in it to measure it everytime we go their to see how it canged. We also rebuilt the brige to keep it strong and not break it. It was a really fun day

	Halle","2012-01-26 15:49","3820","233","Tenino Court Site"
"Planting!!!","
	Today, February 1,2012, we finally got to do some planting in the muddy stream bank. Though the whole place was covered in mud and water,  we worked through it and did what we came for. We ended up planting over a hundred plants, about 10 or 12 of them were of my own doing,  and we even had fun doing it. Can't wait to see what we're doing on our next trip out there. (i just hope it doesn't rain)","2012-02-01 16:08","3826","230","Tenino Court Site"
"Soil Chemistry- Presentation (Jan. 2012)","
	","2012-02-02 22:12","3830","4","Tenino Court Site"
"Wildlife & Plant Team - Presentation (Jan. 2012)","","2012-02-02 22:15","3831","4","Tenino Court Site"
"Photo Point Team - Presentation (Jan. 2012)","","2012-02-02 22:18","3832","4","Tenino Court Site"
"Invasive Species Team - Presentation (Jan. 2012)","","2012-02-02 22:20","3833","4","Tenino Court Site"
"matson creek","
	11:30  2-3-12   Matson creek

	 

	Its very sunny

	the water is very calm

	I see lots water and trees.A house on the other side of the creek.A silow and mts.

	I hear lots of birds and A rooster

	I smell lots of wet grass.The water color is brown and green

	I see lots of grass and blackberrys

	I hear different cars on the road and lots of people talking.I see lots of old buildings and a person walking in the grassand a school bus.

	1:48      ponyslough   2-3-12

	the same things are we are by water and buildings.

	the different things are,We are not by a silow and a barn there are also lots of cars and trucks going by and lots of other sounds the wind is blowing.","2012-02-06 21:17","3842","307","Matson Creek MWS Youth Program"
"Today was great.","
	I'd say this was a good kick-off for being assigned to different teams. I'm still somewhat of a floater, but today I pretty much lived up to my position as an honorary Wildlife and Plant Specialist member and traipsed off to identify some nature.

	My group was in charge of plants; we successfully identified and noted down alder, maple, hemlock, and red cedar trees, encountered some Robert Geranium (a.k.a. ""stinky Bob""), ivy, and holly, and of course navigated through copious amounts of sword ferns. There were also some plants in/by the water that I have yet to identify.

	After that, I was taken off to the side to listen for some birds. I was surprised to hear a northern flicker among the chickadees, song sparrows, robins, and lone scrub jay; hopefully it will find both a place and the motivation to nest here when the time comes.

	Speaking of birds, there were a lot more and they were much more active than usual. I actually came within close proximity of a song sparrow a few times, and before we dispersed into our groups, I had seen a robin poking about on the ground. Later I noticed a scrub jay and what could have possibly been the flicker in the trees, but they were both too far off to get a proper look.

	Nature is very clearly waking up.

	 

	At any rate, despite not having done any drawing this trip, I must say that I enjoyed myself more than I had any previous time, and it was quite fun noting things and putting my birding skills to actual use. I felt like a scientist. Science is the best.","2012-02-15 14:51","3903","248","Tenino Court Site"
"Field Day 2/15/12- communications team","
	Today was a great day !!!!! The communications team got a lot done and we all had fun doing what we were doing. The Hot Coca was especially good . All in all we had a great day","2012-02-15 15:59","3904","240","Tenino Court Site"
